BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
20-135955,True,False,False,False,False,False,False,,False,False,,,,False,"Par avis no3422294, la Métropole Aix-Marseille Provence a lancé le 15/03/2019, un appel d'offres relatif à la réalisation dun pôle déchanges multimodal à Martigues comportant 8 lots.Le lot 2 a été déclaré infructueux en raison de labsence de pli. Conformément à l'article R. 2122-2 du code de la commande publique, il a été décidé de relancer la consultation sous la forme dun marché sans publicité ni mise en concurrence préalables."
20-144250,True,False,False,False,False,False,False,,False,False,,,,False,Ce marché lancé en procédure négociée sans publicité ni mise en concurrence préalable en application des dispositions de l'art. R2122-2 du code de la commande publique
20-149778,False,False,False,False,False,True,False,,False,False,,,,False,Traitement par photo-stimulation sur une zone anatomique étendue.
20-152047,False,False,False,False,False,False,False,,False,False,,,,True,Marché passé en procédure adaptée
20-153466,False,False,False,False,False,False,False,,False,False,,,,True,"La société est le propriétaire exclusif du progiciel "" IRIS FORM "" et quà ce titre la société est seule habilitée à fournir la prestation."
20-154362,False,False,False,False,False,False,False,,False,False,,,,True,Marché passé sous la forme d'une procédure adaptée
20-157983,False,False,False,False,False,False,False,,False,False,,,,True,Le contrat ne relève pas du champ d'application de la directive.
20-158654,False,False,False,False,False,True,False,,False,False,,,,False,"La société Alnylam est la seule à fabriquer, commercialiser et distribuer ce médicament"
20-159004,True,False,False,False,False,False,False,,False,False,,,,False,"La procédure de passation utilisée est la procédure sans publicité ni mise en concurrence préalables. L'accord-cadre a été relancé après une 1ère procédure déclarée sans suite pour cause d'infructuosité. En effet, la seule offre reçue était inappropriée. La procédure initiale avait été passée sous forme d'appel d'offres ouvert."
20-159096,False,False,False,True,False,False,False,,False,False,,,,False,"La présente consultation est lancée suivant la procédure de marché sans publicité ni mise en concurrence préalables en application de larticle R 2122-3 3° du Code de la Commande Publique en vertu des droits exclusifs dont bénéficie la société IDEXX. En effet, dans le cadre de l'accréditation COFRAC et afin de conserver ses accréditations et agréments ministériels, le laboratoire départemental d'analyses est tenu d'acheter les fournitures objets du marché uniquement à la société IDEXX. "
20-159120,False,False,False,False,False,True,False,,False,False,,,,False,"Marché passé sans publicité ni mise en concurrence en application des articles L. 2122-1 et R.2122-3-3° du code susvisé et sous la forme dun accord-cadre à bons de commande en application des articles R.2162-1 à R.2162-6 du Code susvisé.  APOLOGIC INFORMATIQUE APPLICATIONS est le concepteur du système, et le présent marché dexploitation et de maintenance sinscrit dans la continuité : -	du marché no 13-S-001 "" Mise en place de dispositifs de gestion et de paiement des prestations daides sociales  3 lots  LOT N° 1 : Dispositif de télégestion "", à bons de commande, renouvelable 3 fois par période dun an, qui sest terminé le 31 janvier 2017.  Ce marché a été conclu avec la société APOLOGIC INFORMATIQUE APPLICATIONS-	du marché no 16-S-013 ("" marché dexploitation et de maintenance de la solution DOMATEL "" - marché sans publicité et sans mise en concurrence), à bons de commande, renouvelable 3 fois par période dun an, qui se termine le 15 décembre 2020. Ce marché a été conclu avec la société APOLOGIC INFORMATIQUE APPLICATIONS puis transféré à la société CITYZEN dans le cadre dune fusion simplifiée."
20-159143,False,False,False,False,False,False,False,,False,False,,,,True,le montant des marchés ne justifiait pas une publicité européenne.
20-159227,False,False,False,False,False,False,False,,False,False,,,,True,Le présent MNSC est signé selon un procédure négociée sans publicité ni mise en concurrence réalisée conformément à l'article R2122-3 du code de la commande publique
20-159265,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
20-159382,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée inférieure au seuil européen
20-159466,True,False,False,False,False,False,False,,False,False,,,,False,Absence d'offre régulière sur un appel d'offres ouvert déclaré sans suite le 21/03/2019
20-99224,False,False,False,False,False,True,False,,False,False,,,,False,La présente consultation est passée selon la procédure négociée sans publicité ni mise en concurrence préalables en application en application de larticle R2322-5 du code de la commande publique.La solution MSCAN est la seule sur le marché à disposer dun logiciel dédié et dune base de données évolutives de plus de 350 serrures. Elle est développée exclusivement par la société MADELIN et est réservée aux agences gouvernementales.
21-10280,False,False,False,False,False,True,False,,False,False,,,,False,"La prestation ne peut être fournie que par un seul opérateur économique déterminé (Cincom Systems France) en raison de lexistence de droits dexclusivité, notamment de droits de propriété intellectuelle. En effet, la société Cincom Systems France a fourni une attestation dexclusivité précisant quelle détient les droits exclusifs de commercialisation, de suivi et de support des logiciels suivants :MANTIS MVS, MANTIS SQL DB2, MANTIS XREF pour matériel IBM"
21-10399,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu des directives 2014/24/UE du Parlement européen et du Conseil du 26 février 2014, le montant estimé du présent marché de travaux est inférieur au seuil d'application des directives susvisées. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de publicité au JOUE."
21-10537,False,False,False,True,False,False,False,,False,False,,,,False,"Le présent marché a été passé sans publicité ni mise en concurrence en application des dispositions de l'article R2122-3 du Code de la commande publique. Aux termes de l'article susvisé, un acheteur peut passer un marché sans publicité ni mise en concurrence préalables lorsque les travaux, fournitures ou services ne peuvent être fournis que par un opérateur économique déterminé, pour des raisons techniques.Par voie de convention, la Ville de LOOS bénéficie de la fourniture de chaleur dans ses bâtiments communaux situés au quartier des Oliveaux grâce au raccordement à une chaufferie fonctionnant au gaz naturel, et appartenant à PARTENORD HABITAT. Pour la fourniture de chaleur et l'exploitation de cette chaufferie, PARTENORD HABITAT a conclu un marché public avec la société DALKIA. La société DALKIA est donc l'unique exploitant de la chaufferie désigné par PARTENORD HABITAT depuis le 1er juillet 2019.En conséquence, seule la société DALKIA, est en mesure d'exploiter et de fournir lachaleur nécessaire aux bâtiments de la ville de LOOS, ces derniers étant raccordés à la chaufferie."
21-10853,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
21-10869,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu des directives 2014/24/UE du Parlement européen et du Conseil du 26 février 2014, le montant estimé du présent marché de travaux est inférieur au seuil d'application des directives susvisées. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de publicité au JOUE"
21-10906,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu des directives 2014/24/UE du Parlement européen et du Conseil du 26 février 2014, le montant estimé du présent marché de travaux est inférieur au seuil d'application des directives susvisées. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de publicité au JOUE."
21-11033,False,False,False,False,False,False,False,,False,False,,,,True,Le marché initial a été passé en procédure adaptée
21-11065,False,False,False,False,False,True,False,,False,False,,,,False,Exclusivité
21-1111,False,False,False,False,False,False,False,,False,True,,,,False,L'attribution de ce marché négocié de Maitrise d'oeuvre fait suite à un concours restreint sur avant projet sommaire incluant l'esquisse;
21-11233,False,False,False,False,False,True,False,,False,False,,,,False,"Les travaux/produits/services ne peuvent être fournis que par un opérateur économique déterminé pour la raison suivante : protection de droits exclusifs, y compris des droits de propriété intellectuelle"
21-11368,False,False,False,True,False,False,False,,False,False,,,,False,"La société GLOBECAST étant la seule société étant en mesure de fournir la prestation, conformément à larticle R2122-8 du code de la commande publique, le présent marché est un marché passé sans publicité ni mise en concurrence préalables."
21-1141,False,False,False,False,False,False,False,,False,True,,,,False,marché de maîtrise  d'uvre attribué suite à procédure de concours
21-11817,False,False,False,False,False,False,False,,False,True,,,,False,Marché de services attribué au lauréat ou à l'un des lauréats d'un concours
21-11895,False,False,False,False,False,False,False,,False,False,,,,True,La procédure mise en oeuvre et le montant Ht du marché ne nécessite pas une publication préalable au Joue
21-11969,False,False,False,False,False,False,False,,False,False,,,,True,Il s'agit d'un marché subséquent au sens du Code de la Commande Publique du 1er avril 2019
21-1210,False,False,False,False,False,False,False,,False,False,,,,True,"Le présent marché ne relève pas du champ d'application de la directive, il est passé selon une procédure adaptée"
21-12131,False,False,False,False,False,True,False,,False,False,,,,False,Produit distribué par la société BOSTON SCIENTIFIC qui est la seule société à proposer des consommables compatibles avec le système de cartographie haute densité RHYTHMIA
21-1233,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
21-12511,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
21-12697,False,False,False,False,False,False,False,,False,False,,,,True,AFNOR est le seul organisme habilité par décret à la publication de normes.
21-12928,False,False,False,False,False,True,False,,False,False,,,,False,"La procédure utilisée a été la procédure sans publicité ni mise en concurrence préalables, conformément à l'article R 2122-3-3° du code de la commande publique compte tenu des droits d'exclusivité du prestataire"
21-12934,False,False,False,False,False,False,False,,False,False,,,,True,Mapa- Procédure en dessous des seuils européens
