BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,False,33,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,False,64,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,False,32,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,144,Gros oeuvre,CF_NIV_SUIV,False,False,40,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,144,Gros oeuvre,CF_NIV_SUIV,False,False,33,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,144,Gros oeuvre,CF_NIV_SUIV,False,False,64,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,144,Gros oeuvre,CF_NIV_SUIV,False,False,32,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,195,Maçonnerie,CF_NIV_SUIV,False,False,40,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,195,Maçonnerie,CF_NIV_SUIV,False,False,33,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
21-3353,2021-01-08 00:00:00,2021-01-29 12:00:00,2021-01-29 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,195,Maçonnerie,CF_NIV_SUIV,False,False,64,,Restructuration du 5ème Etage Aile Nord du Centre Hospitalier de Dax-Côte d'Argent-RELANCE DES LOTS 1.2.3 ET 8
