BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
18-111639,Ville de Draguignan (83),None,,commande publique,FR,rue Cisson,83300,Draguignan,,(+33) -04-94-60-20-94,,,mp@ville-draguignan.fr,http://www.ville-draguignan.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
19-138840,Centre des monuments nationaux,None,,,FR,62 Rue Saint Antoine,75004,Paris,,(+33) 1-44-61-22-21,,,marches-publics@monuments-nationaux.fr,http://www.monuments-nationaux.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=460679&amp;orgAcronyme=f5j,,,,,False,True,,False,True
20-105937,Ville de Lescar,None,,,FRI15,Allée du bois d'Ariste CS 70488,64238,Lescar cedex,,(+33) 5-59-81-57-13,,,marches.publics@lescar.fr,http://www.lescar.fr,https://www.demat-ampa.fr,,,,,False,True,,False,True
20-107212,RPA DREAL Languedoc-R - Midi-Pyrenées,None,M. le chef de la Direction Transport - Division Maîtrise d'ouvrage de Toulouse,,,DREAL Occitanie1 rue de la cité administrativeBâtiment C - 4ème étageCS 80002,31074,TOULOUSE CEDEX 9,,,,,,http://www.occitanie.developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr.,,,,,False,False,,False,False
20-114622,DIR Atlantique,None,,,FRI,19 allée des Pins - CS 31670,33073,BORDEAUX cedex,,(+33) 5-57-81-64-90,,(+33) 5-57-81-64-91,dir-atlantique@developpement-durable.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,False,True,,False,True
20-117134,Région Guadeloupe,None,,,FRY1,Avenue Paul Lacavé - Petit-Paris,97100,Basse-Terre,,(+33) 5-90-80-40-40,,(+33) 5-90-80-41-59,dcp-region@cr-guadeloupe.fr,http://www.regionguadeloupe.fr,http://www.eguadeloupe.com,,,http://www.eguadeloupe.com,,False,True,,False,True
20-117935,MINARM/DGA/DO/S2A,15000035400012,MMe Carine Espitalier,,,MINARM/DGA/DO/S2A ministère des armées - direction générale de l'armement - direction des opérations - service des achats d'armement/division achats de Val de Reuil Chaussée du Vexin B.P. 510,27105,Val de Reuil Cedex,,,,,carine.espitalier@intradef.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,http://www.ixarm.com,http://www.marches-publics.gouv.fr,,,False,False,,False,False
20-119688,FranceAgriMer,None,,SAF- Unité Achats Marchés,FR106,12 rue Henri Rol Tanguy,93555,Montreuil cedex,,(+33) 1-73-30-20-00,,(+33) 1-73-30-30-34,mpublics@franceagrimer.fr,http://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=648363&amp;orgAcronyme=b4n,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=648363&amp;orgAcronyme=b4n,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=648363&amp;orgAcronyme=b4n,,True,False,,False,True
20-123123,Commune de Lattes,None,,,FRJ13,CS 11010,34973,LATTES CEDEX,,(+33) 4-67-99-77-77,,(+33) 4-67-99-77-78,marches.publics@ville-lattes.fr,http://www.ville-lattes.fr,http://www.marches.montpellier3m.fr,,https://marches.montpellier3m.fr,https://marches.montpellier3m.fr,,True,False,,False,True
20-124569,INSERM ADR Paris V Sainte Anne,None,,Cellule achats DR PARIS 5,FR101,86 rue Regnault,75013,Paris,,(+33) 1-81-70-72-84,,,achats.paris5@inserm.fr,http://www.inserm.fr,https://www.marches-publics.gouv.fr,,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,,False,True,,False,True
20-124969,Tunnel Euralpin Lyon Turin SAS,None,Fonction Contrats,,,"Bâtiment "" Homère ""13, allée du Lac de Constance",73381,Le Bourget du Lac Cedex,,04-79-68-56-50,,,fonction.contrats@telt-sas.com,https://www.telt-sas.com/fr/,https://www.achatpublic.com/,,,,,False,False,,False,False
20-126238,Ville de Lorient,None,,,FRH04,"2, boulevard Leclerc CS 30010",56325,LORIENT,,,,,achats@mairie-lorient.fr,http://www.lorient.bzh,http://www.e-megalisbretagne.org,,http://www.e-megalisbretagne.org,http://e-megalisbretagne.org,,False,True,,False,True
20-130623,DSNA,None,,,FRJ23,"Direction de la technique et de l'innovation, 1 avenue du Docteur Maurice Grynfogel, CS 53584",31470,Toulouse,,,,,frederic.darmaillacq@aviation-civile.gouv.fr,http://www.marches-publics.gouv.fr,,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
20-135729,ETS PUBLIC FONCIER NORD PAS DE CALAIS,None,,Service commande publique,FRE1,594 Avenue Willy Brandt - BP 20003,59777,Euralille,,,,,marchespublics@epf-npdc.fr,http://www.epf-npdc.fr,http://www.marches-securises.fr,,,,,False,True,,False,True
