BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
21-20701,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20702,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20703,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20704,,"- Modalités essentielles de financement et de paiement:Les prix sont Fermes dans les conditions fixées dans le Cahier des Clauses Administratives Particulières.- Avance : sauf indication contraire dans l'acte d'engagement, il est prévu le versement d'une avance forfaitaire au titulaire.- Délai global de paiement : le délai de paiement est de 30 jours.- Comptable assignataire : Monsieur le Trésorier Payeur",Groupement conjoint ou solidaire,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20705,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20706,,précisées dans le règlement de la consultation.,précisées dans le règlement de la consultation.,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-20708,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20709,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20710,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20712,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20713,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20714,"Une retenue de garantie de 5 % du montant initial du marché (augmenté le cas échéant du montant des avenants) sera constituée. Cette retenue de garantie sera prélevée sur le montant de chaque acompte par le comptable assignataire des paiements.Cette retenue de garantie peut être remplacée au gré du titulaire par une garantie à première demande ou par une caution personnelle et solidaire.Une avance est accordée au titulaire dans les conditions stipulées dans le code de la commande publique, sauf indication contraire dans l'acte d'engagement.Si cette durée est supérieure à douze mois, l'avance est égale à 10 % d'une somme égale à douze fois le montant minimum divisé par la durée du marché exprimée en mois.","Les sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché, seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes. Le taux des intérêts moratoires sera celui du taux d'intérêt de la principale facilité de refinancement appliquée par la Banque centrale européenne à son opération de refinancement principal la plus récente effectuée avant le premier jour de calendrier du semestre de l'année civile au cours duquel les intérêts moratoires ont commencé à courir, majoré de huit points.Le pouvoir adjudicateur sera également redevable d'une indemnité forfaitaire de 40 euros, conformément aux dispositions du code de la commande publique. Les dépenses seront imputées sur les crédits inscrits au budget général et annexe du département.","Le pouvoir adjudicateur ne souhaite pas imposer une forme de groupement aux opérateurs économiques.Cependant, si le groupement décide de se porter candidat sous la forme d'un groupement conjoint, le mandataire devra être obligatoirement solidaire. Le mandataire sera chargé de réaliser les opérations de métrologie.Le pouvoir adjudicateur autorise aux candidats de se présenter pour le marché plusieurs offres en agissant à la fois : - en qualité de candidats individuels et de membres d'un ou de plusieurs groupements- en qualité de membres de plusieurs groupements",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-20716,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20718,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20719,Sûreté : Sans objet,Mode de financement : Les crédits émaneront du budget propre du Département..- Mode de paiement : Virement bancaire (Mandat administratif),"Pas de forme imposée. En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles. Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements. Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de membres de plusieurs groupements",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-20720,,Le règlement des dépenses sera réalisé par mandat administratif dans un délai de 30 jours suivant la réception de la demande de paiement et sur les fonds propres de l'acheteur public.,"L'offre sera présentée par un candidat individuel ou par un groupement d'opérateurs économiques. Dans le respect des dispositions de l'article R.2142-21 du Code de la commande publique, les candidats n'ont pas l'autorisation d'être à la fois candidats individuels et membres d'un ou plusieurs groupements. Ils n'ont pas non plus l'autorisation d'être mandataire d'un groupement et membre d'un autre groupement candidat.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20722,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20723,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20724,Pas de cautionnement ni garanties exigés,Financement en fonds propres,,False,False,,False,True,False,CF_NIV_SUIV,,
21-20726,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
21-20727,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20728,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
21-20729,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20731,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20733,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20734,,,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-20738,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20740,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20741,"Une retenue de garantie de 5 % est exercée sur les acomptes par le comptable assignataire des paiements.Si le titulaire est une petite et moyenne entreprise, ce taux est réduit à 3 %.Une avance est accordée au titulaire sauf indication contraire dans l'acte d'engagement. Elle n'est due que sur la base du montant des tranches diminué du montant des prestations confiées à des sous-traitants et donnant lieu à paiement direct.",État - programme 203 - multi imputationsLes prix sont révisables. Les comptes seront réglés sous la forme décomptes. Le délai global de paiement du règlement des comptes sera fixé à 30 jours.,"Le marché sera conclu : - soit avec un prestataire unique ; - soit avec des prestataires groupés conjoints ou des prestataires groupés solidaires.Le mandataire du groupement conjoint sera solidaire de chacun des membres du groupement pour ses obligations contractuelles à l'égard de la personne publique, pour l'exécution du marché.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20742,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20743,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20744,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20748,"Les fournisseurs sont dispensés de cautionnement et de retenue de garantie.En cas de demande par le titulaire de l'avance forfaitaire, les articles R2191-3 à R2191-12 du décret no2018-1075 du 3 décembre 2018 relatif au code de la commande publique du 5 décembre 2018 seront appliqués.",Budget propre de la collectivité,La définition de la forme du groupement souhaité est le groupement solidaire en application de l'article L2141-13 de l'ordonnance no2018-1074 et des articles R2142-19 à R2142-27 du décret no2018-1075 du 3 décembre 2018 relatif au code de la commande publique du 5 décembre 2018.,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20749,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20750,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20751,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20752,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20753,"Il n'est pas demandé de retenue de garantie ni de caution.Conformément à l'article R. 2191-43 du Code de la commande publique, le candidat devra également fournir les attestations d'assurance en responsabilité civile et décennale.En outre, la constitution d'une garantie à 1ère demande sera exigée pour le versement de l'avance le cas échéant.","Budget propre de la Ville.Le candidat devra indiquer dans l'acte d'engagement s'il souhaite le bénéfice de l'avance dans les conditions déterminées aux articles L. 2191-2, L. 2191-3 et R. 2191-3 à R. 2191-19 du Code de la commande publique.L'avance est accordée sous condition de la constitution d'une caution bancaire ou d'une garantie à 1ère demande.","Le marché sera attribué à un entrepreneur unique ou à un groupement d'entrepreneurs solidaire ou conjoint avec mandataire solidaire.Si le candidat se présente sous la forme d'un groupement d'entrepreneurs, ce dernier pourra être solidaire ou conjoint conformément à l'article R. 2142-20 du Code de la commande publique. Le candidat précisera la forme du groupement dans sa lettre de candidature.Conformément à l'article R. 2142-24 du Code de la commande publique, le mandataire du groupement conjoint est solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles à l'égard de la personne publique.En application de l'article R. 2142-23 du Code de la commande publique, les candidatures et les offres sont présentées par un mandataire qui justifie des habilitations nécessaires pour représenter les autres membres du groupement. Il est également rappelé qu'un même opérateur économique ne peut pas être mandataire de plus d'un groupement pour un même marché. Selon l'article R. 2142-24 du Code de la commande publique, le mandataire représente l'ensemble des membres vis-à-vis de l'acheteur et coordonne les prestations des membres du groupement",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20754,,"Financement Etat, DRAC, Conseil départemental 19",,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20756,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20758,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-20759,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-20761,Se référer au règlement de la consultation,Les prix sont unitaires et fermes dans les conditions définies au CCAP. Aucune avance ne sera versée. Modalités de règlement des comptes : selon les prescriptions du CCAG-FCS et du CCAP.Le délai global de paiement est de 30 jours,Aucune forme de groupement imposée à l'attributaire mais interdiction de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
