,BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
0,21-14053,False,False,False,False,False,False,False,,False,False,,,,True,La valeur totale du marché (175 136 euro(s) Ht) est inférieure aux seuils européens imposant une publication au Joue
1,21-14172,False,False,False,False,False,False,False,,False,False,,,,True,Les marchés subséquents découlent de l'accord-cadre dont l'avis de publicité à été transmis le 21 octobre 2021 sur la plateforme Aws
2,21-14613,True,False,False,False,False,False,False,,False,False,,,,False,Aucune offre n'a été déposée lors de l'appel d'offres initial
3,21-14715,False,False,False,False,False,False,False,,False,False,,,,True,Marché subséquent - Accord Cadre passé par UNIHA
4,21-14977,True,False,False,False,False,False,False,,False,False,,,,False,"Les offres reçues lors de la précédente consultation ont été déclarées inacceptables au sens du code de la commande publique. En conséquence, une procédure négociée sans publicité préalable a été engagée sur le fondement de l'article R2124-3 alinéa 6 du code de la commande publique."
5,21-15167,False,False,False,False,False,True,False,,False,False,,,,False,La société est la seule à pouvoir fournir les équipements.
6,21-15771,False,False,False,False,False,False,False,,True,False,,,,False,"Consultation passée en application de larticle R 2122-7 du code de la commande publique. Le marché initial prévoyait dans larticle 6-5 du Cahier des Clauses administratives Particulières(CCAP) la possibilité de recourir à ce type de marché.Cette consultation fait suite à une procédure initiale dappel doffres ouvert pour la mise en place dun accord cadre mono attributaire sans minimum et sans maximum avec une publicité prenant en compte les montants nécessaires puisque passée au BOAMP et au JOUE. Avis N°17-114471 en date du 17/11/2017.Les marchés 2017TR01 et 2017TR02 ont été notifié le 22/01/2018, les marchés N°2020TR1 et 2020TR02 faisant suite au 1er sont passé dans les trois ans suivant la notification.Les conditions énoncées dans larticle R 2122-7 du code de la commande publique sont donc n respectées"
7,21-16387,False,False,False,False,False,False,False,,False,False,,,,True,"Le contrat, d'un montant inférieur aux seuils fixés par les directives, est passé selon une procédure adaptée et pour laquelle la publication préalable d'un avis d'appel public à la concurrence au Journal officiel de l'Union européenne n'est pas obligatoire."
8,21-16503,False,False,False,False,False,True,False,,False,False,,,,False,HORIBA ABX a remis à l'EFS en date du 3 novembre 2020 une attestation signifiant que ce dernier détient un droit d'exclusivité l'habilitant seul à distribuer les réactifs et consommables objets du présent marché public et à effectuer les opérations de maintenance sur les automates ABX et PENTRA.
9,21-17216,False,False,False,False,False,True,False,,False,False,,,,False,Ce marché ne peut être confié qu'à la société SIDES pour des raisons techniques et droits d'exclusivité.Les pièces de rechanges des véhicules aéroportuaires sont spécifiques et fabriqués par SIDES dans ses locaux à St Nazaire et ne peuvent être approvisionnées ailleurs.
