,BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
0,18-111639,2021-02-14 00:00:00,,2021-02-28 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,443,"Electricité, gaz (fourniture)",CF_NIV_SUIV,False,False,83,,concession réseau public de distribution d'énergie électrique
1,19-138840,2021-02-14 00:00:00,,2021-04-14 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,331,Surveillance,CF_NIV_SUIV,False,False,75,,prestation de sécurité incendie et prévention des établissements recevant du public de l'abbaye du mont-saint-michel
2,19-138840,2021-02-14 00:00:00,,2021-04-14 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,331,Surveillance,CF_NIV_SUIV,False,False,50,,prestation de sécurité incendie et prévention des établissements recevant du public de l'abbaye du mont-saint-michel
3,19-138840,2021-02-14 00:00:00,,2021-04-14 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,False,75,,prestation de sécurité incendie et prévention des établissements recevant du public de l'abbaye du mont-saint-michel
4,19-138840,2021-02-14 00:00:00,,2021-04-14 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,False,50,,prestation de sécurité incendie et prévention des établissements recevant du public de l'abbaye du mont-saint-michel
5,20-105937,2021-02-03 00:00:00,,2021-02-28 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,64,,marché de nettoyage et d entretien des bâtiments de la commune de lescar
6,20-105937,2021-02-03 00:00:00,,2021-02-28 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,40,,marché de nettoyage et d entretien des bâtiments de la commune de lescar
7,20-105937,2021-02-03 00:00:00,,2021-02-28 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,65,,marché de nettoyage et d entretien des bâtiments de la commune de lescar
8,20-107212,2021-02-02 00:00:00,2021-03-08 17:00:00,2021-03-08 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,305,Reprographie,CF_NIV_SUIV,False,True,31,,Prestations de reprographie pour le compte du département maîtrise d'ouvrage des routes nationales (division de Toulouse) de la DREAL OCCITANIE.
9,20-114622,2021-02-03 00:00:00,,2021-03-04 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,141,Génie civil,CF_NIV_SUIV,True,True,33,,travaux d'entretien et de réparation de la chaussée sur le réseau de la dir atlantique
