BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
21-34096,False,False,True,False,False,False,
21-34101,True,False,False,False,False,False,
21-34103,False,False,False,True,False,False,
21-34110,False,False,False,False,True,False,
21-34115,False,False,False,False,True,False,
21-34119,False,False,True,False,False,False,
21-34120,False,False,True,False,False,False,
21-34126,False,False,False,False,False,False,Etablissement public
21-34130,False,False,True,False,False,False,
21-34136,True,False,False,False,False,False,
21-34138,False,False,True,False,False,False,
21-34145,True,False,False,False,False,False,
21-34146,True,False,False,False,False,False,
21-34151,False,False,True,False,False,False,
21-34152,False,False,True,False,False,False,
21-34154,False,False,False,False,False,False,Centre hospitalier
21-34155,False,False,False,False,True,False,
21-34157,False,False,True,False,False,False,
21-34158,False,False,False,False,True,False,
21-34160,False,False,False,False,True,False,
21-34162,False,False,False,False,False,False,Centre hospitalier
21-34163,False,False,False,False,False,False,Etablissement public administratif
21-34169,True,False,False,False,False,False,
21-34171,False,False,False,False,False,False,Etablissement public de santé
21-34178,False,False,False,False,False,False,Sécurité sociale
21-34184,True,False,False,False,False,False,
21-34190,False,False,True,False,False,False,
21-34194,False,False,False,True,False,False,
21-34195,False,False,False,False,False,False,Groupement de collectivités
21-34196,False,False,True,False,False,False,
21-34200,False,False,False,False,False,False,Société anonyme d'économie mixte
21-34202,False,False,False,False,False,False,EPCI
21-34209,False,False,True,False,False,False,
21-34212,False,False,True,False,False,False,
21-34215,False,False,True,False,False,False,
21-34216,False,False,True,False,False,False,
21-34218,True,False,False,False,False,False,
21-34221,False,False,True,False,False,False,
21-34224,False,False,False,False,True,False,
21-34226,False,False,False,False,True,False,
21-34228,False,False,True,False,False,False,
21-34230,False,False,True,False,False,False,
21-34231,False,False,True,False,False,False,
21-34232,False,False,False,False,False,False,Aménagement/construction
21-34235,False,False,False,False,True,False,
21-34237,False,False,True,False,False,False,
21-34238,False,False,True,False,False,False,
21-34245,False,False,False,False,False,False,Régulation des marchés financiers
21-34246,True,False,False,False,False,False,
21-34247,False,False,False,False,True,False,
21-34252,False,False,True,False,False,False,
21-34255,False,False,False,False,True,False,
21-34262,False,False,False,False,False,False,Société d'Economie Mixte
21-34266,True,False,False,False,False,False,
21-34268,True,False,False,False,False,False,
21-34272,False,False,True,False,False,False,
21-34273,False,False,True,False,False,False,
21-34275,False,False,False,True,False,False,
21-34277,False,False,True,False,False,False,
21-34279,False,False,True,False,False,False,
21-34286,False,False,False,False,True,False,
21-34289,False,False,False,False,True,False,
21-34290,False,False,True,False,False,False,
21-34294,False,False,False,False,True,False,
21-34295,False,False,True,False,False,False,
21-34297,False,False,True,False,False,False,
21-34298,False,False,False,False,True,False,
21-34301,False,False,True,False,False,False,
21-34310,False,False,True,False,False,False,
21-34320,True,False,False,False,False,False,
21-34321,False,False,False,False,False,False,Etablissement public de santé
21-34326,False,False,False,False,False,False,COLLECTIVITE TERRITORIALE
21-34327,False,False,False,False,True,False,
21-34328,True,False,False,False,False,False,
21-34332,True,False,False,False,False,False,
21-34334,False,False,True,False,False,False,
21-34342,False,False,False,False,False,False,Emploi
21-34351,False,False,True,False,False,False,
21-34353,False,False,True,False,False,False,
21-34354,False,False,False,False,True,False,
21-34355,False,False,True,False,False,False,
21-34356,False,False,True,False,False,False,
21-34361,False,False,False,False,True,False,
21-34363,False,False,True,False,False,False,
17-131947,False,False,False,False,False,False,Communauté de Communes de la Côte d'Albâtre
21-34366,False,False,True,False,False,False,
21-34378,False,False,True,False,False,False,
21-34379,False,False,False,False,False,False,EPIC
21-34381,False,False,True,False,False,False,
21-34382,False,False,True,False,False,False,
21-34386,False,False,True,False,False,False,
21-34387,False,False,True,False,False,False,
