,BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
0,19-84520,,Les sommes dues au(x) titulaire(s) seront payées par mandat administratif dans un délai global de 30 jours à compter de la date de réception des demandes de paiement.Il devra être établi une facture mensuelle par lot.Ce marché ne donne pas lieu au versement d'avance. Il ne peut être appliqué d'escompte pour règlement comptant.,"Le marché peut être conclu avec un groupement d'opérateurs économiques, tel que défini dans les articles R.2142-19 à R2142-27 du Code de la commande publique. Aucune forme de groupement n'est imposée par le pouvoir adjudicateur. En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article R. 2142-24 du code de la Commande publique. Les candidats n'ont pas la possibilité de présenter pour le même lot plusieurs offres en agissant à la fois en qualité de candidats individuels ou de membres d'un ou plusieurs groupements.L'acheteur ne souhaite imposer aucune forme de groupement à l'attributaire du marché.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
1,20-101050,,Fonds propres de la Collectivité Territoriale de Martinique - paiement : virement administratif,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
2,20-112578,,,,False,False,,False,True,True,CF_NIV_SUIV,,
3,20-124973,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
4,20-132628,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
5,20-137371,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
6,20-146194,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
7,20-147275,,"Le financement est assuré exclusivement par des ressources budgétaires propres au ministère des armées.Le régime des paiements (versements d'avance, acomptes, soldes ...) est conforme aux dispositions des articles L 2391-2 à L 2392-10, R 2391-1 à R 2391-7, R 2391-16 à R 2391-28, R 2393-24 à R 2393-40 du code de la commande publiqueLe prix du poste 1 est ferme actualisable et le prix du poste 2 est révisable .Le délai de paiement est de 30 jours maximum et mis en oeuvre conformément aux articles R2392-10 à R 2392-12 et D 2392-11 du code de la commande publique. Le mode de règlement est le virement. Le comptable assignataire est :L'Agent comptable des services industriels de l'armement (Acsia)Le Vendôme III11, rue du Rempart93 196 Noisy-Le Grand Cedex.","Les candidats doivent indiquer dans leur candidature s'ils se présentent en tant que candidat individuel ou groupement d'opérateurs économiques.La forme du groupement n'est pas imposée. Toutefois si le candidat se présente sous la forme d'un groupement conjoint, le mandataire sera solidaire pourl'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles à l'égard de l'acheteur.Il est interdit aux candidats de présenter pour le marché plusieurs offres en agissant à la fois :1° en qualité de candidats individuels et de membres d'un ou plusieurs groupements ;2° en qualité de membres de plusieurs groupements.La composition des groupements ne peut pas être modifiée après la remise des offres initiales sauf en cas d'opération de restructuration de société, notamment derachat, de fusion ou d'acquisition, ou si le groupement apporte la preuve qu'un de ses membres se trouve dans l'impossibilité d'accomplir sa tâche pour des raisonsqui ne sont pas de son fait.",False,False,,False,False,False,CF_NIV_SUIV,['FR'],
8,20-149828,"Chaque paiement fera l'objet d'une retenue de garantie au taux de 5,00 % dans les conditions prévues aux articles R2191-32 à R2191-42 du Code de la commande publique. Cette sûreté porte sur l'intégralité des prestations objet du marché.la retenue de garantie peut être remplacée, au gré du titulaire, par une garantie à première demande, dans les conditions prévues aux articles R2191-36 à R2191-42 du Code de la commande publique. Le remplacement de la retenue de garantie par une caution personnelle et solidaire n'est pas autorisé. Une avance est prévue. Elle ne pourra être versée qu'après constitution de la Garantie à première demande à hauteur du montant de l'avance prévue à l'article R-2191-7 du code de la commande publique . Cette GAPD ne pourra être remplacée par une caution personnelle et solidaire.",le règlement des dépenses se fera par mandat administratif suivi d'un virement dans le délai de 30 jours et selon les règles de la comptabilité publique.,aucune forme de groupement n'est imposée par le pouvoir adjudicateur.,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
9,20-154583,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
10,20-154628,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
11,20-156489,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
