BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
21-64899,,2021-06-14 11:00:00,,CF_NIV_SUIV,,,120.0,
21-64900,,2021-06-14 13:00:00,,CF_NIV_SUIV,,3.0,,
21-64901,,2021-06-14 17:00:00,2021-06-27 22:00:00,CF_NIV_SUIV,,7.0,,
21-64902,,2021-06-16 15:00:00,,CF_NIV_SUIV,,,,
21-64904,,2021-06-02 11:00:00,,CF_NIV_SUIV,,,90.0,
21-64906,,2021-06-17 16:30:00,,CF_NIV_SUIV,,6.0,,
21-64907,,2021-06-10 11:00:00,,CF_NIV_SUIV,,,,
21-64908,,2021-06-07 11:00:00,,CF_NIV_SUIV,,,,
21-64909,,2021-06-14 16:00:00,,CF_NIV_SUIV,,,,
21-64911,,2021-05-31 11:00:00,,CF_NIV_SUIV,,4.0,,
21-64915,,2021-06-09 11:00:00,,CF_NIV_SUIV,,,120.0,
21-64917,,2021-06-30 11:00:00,,CF_NIV_SUIV,,,120.0,
21-64919,,2021-06-15 15:00:00,,CF_NIV_SUIV,,6.0,,
21-64923,,2021-06-14 14:00:00,,CF_NIV_SUIV,,6.0,,
21-64925,,2021-06-14 11:00:00,,CF_NIV_SUIV,,4.0,,
21-64926,,2021-06-16 16:00:00,,CF_NIV_SUIV,,6.0,,
21-64928,,2021-06-14 14:00:00,,CF_NIV_SUIV,,5.0,,
21-64929,,2021-06-16 15:30:00,,CF_NIV_SUIV,,4.0,,
21-64931,,2021-06-14 11:00:00,,CF_NIV_SUIV,,4.0,,
21-64932,,2021-06-14 11:00:00,,CF_NIV_SUIV,,,120.0,
21-64933,,2021-06-07 11:00:00,,CF_NIV_SUIV,,,180.0,
21-64934,,2021-06-14 11:00:00,,CF_NIV_SUIV,,6.0,,
21-64935,,2021-06-14 16:00:00,,CF_NIV_SUIV,,6.0,,
21-64936,,2021-06-11 11:00:00,,CF_NIV_SUIV,,3.0,,
