,BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
0,20-113566,False,False,False,False,False,False,Etablissement public de santé
1,20-113622,False,False,False,False,False,False,Etablissement public de santé
2,20-113651,False,False,False,False,False,False,Etablissement public de santé
3,20-113681,False,False,False,False,False,False,Etablissement public de santé
4,20-113692,False,False,False,False,False,False,Etablissement public de santé
5,20-113695,False,False,False,False,False,False,Etablissement public de santé
6,20-159271,False,False,False,False,True,False,
7,20-25061,False,False,True,False,False,False,
8,20-37660,False,False,False,False,True,False,
9,20-74851,True,False,False,False,False,False,
10,21-11851,False,False,False,False,True,False,
11,21-12514,False,False,False,False,False,False,SDIS
12,21-13100,False,False,False,False,False,False,EPCI
13,21-13579,False,False,False,False,False,False,EPCI
14,21-14587,False,False,True,False,False,False,
15,21-15414,True,False,False,False,False,False,
16,21-17619,False,False,True,False,False,False,
17,21-18362,False,False,True,False,False,False,
18,21-1939,False,False,False,False,False,False,Etablissement public de santé
19,21-21740,False,False,True,False,False,False,
20,21-23009,False,False,False,False,True,False,
21,21-40494,False,False,True,False,False,False,
22,21-40568,False,False,True,False,False,False,
23,21-41135,False,False,False,False,False,False,EPS
24,21-43173,True,False,False,False,False,False,
25,21-43833,False,False,False,False,True,False,
26,21-45022,False,False,False,False,False,False,EPS
27,21-46648,False,False,True,False,False,False,
28,21-46818,False,False,True,False,False,False,
29,21-46875,False,False,True,False,False,False,
30,21-47492,False,False,False,False,False,False,établissement public de santé
31,21-49271,True,False,False,False,False,False,
32,21-49485,True,False,False,False,False,False,
33,21-50502,False,False,True,False,False,False,
34,21-50648,False,False,False,True,False,False,
35,21-51068,False,False,True,False,False,False,
36,21-52001,False,False,False,False,False,False,collectivité territoriale
37,21-52055,True,False,False,False,False,False,
38,21-53513,True,False,False,False,False,False,
39,21-53618,False,False,True,False,False,False,
40,21-54795,False,False,False,False,True,False,
41,21-54805,False,False,False,False,True,False,
42,21-54862,False,False,False,False,True,False,
43,21-54968,False,False,True,False,False,False,
44,21-55594,False,False,True,False,False,False,
45,21-55906,False,False,False,False,False,False,Etablissement de santé
46,21-55995,True,False,False,False,False,False,
47,21-56197,False,False,True,False,False,False,
48,21-56204,False,False,True,False,False,False,
49,21-56214,False,False,False,False,True,False,
50,21-57021,False,False,True,False,False,False,
51,21-57108,False,False,True,False,False,False,
