BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-91351,CARSAT Normandie,None,"M. El hilali Jawad, Acheteur",,,Avenue du Grand Cours,76100,Rouen,,,,,,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-91352,Ville de Choisy le Roi,None,"M. Commune CHOISY LE ROI Le Maire, 0148924188",,,PLACE Gabriel Peri,94607,Choisy le roi,,01-48-92-41-88,,,marchespublics.choisy@choisyleroi.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-91353,Ville de Villiers-sur-Marne,None,"M. BENISTI Jacques Alain, Maire",,,Place de l'Hôtel de Ville,94350,Villiers-sur-marne,,,,,,,,,,,,False,False,,False,False
21-91354,Rennes Métropole,None, Secrétariat de l'Unité Marchés Affaires Juridiques,,,"6, Rue Postel CS 93111",35031,RENNES CEDEX,,02-23-62-10-26,,,dpb-maj@rennesmetropole.fr,http://metropole.rennes.fr/,https://marches.megalis.bretagne.bzh,,,,,False,False,,False,False
21-91355,SIDEN-SIAN NOREADE EAU,20001759800034,,M. le Président du SIDEN-SIAN et ses régies Noréade,FRE11,23 avenue de la Marne CS 90101,59443,Wasquehal cedex,,(+33) 3-20-66-44-23,,(+33) 3-20-80-25-22,marches@noreade.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2020_B_vXvbKi16,https://www.achatpublic.com,,,,,False,True,,False,True
21-91356,ville de Colomiers,None,,,FRJ23,"1, Place Alex Raymond BP 30330",31776,COLOMIERS CEDEX,,,,,commande.publique@mairie-colomiers.fr,http://www.ville-colomiers.fr,http://www.achatpublic.com,http://www.achatpublic.com,http://www.achatpublic.com,http://www.achatpublic.com,,False,True,,False,True
21-91357,Ville de Strasbourg,None,,,FRF11,"1, Parc de l'Etoile",67076,STRASBOURG CEDEX,,(+33) 3-68-98-51-19,,,marchespublics@strasbourg.eu,https://www.strasbourg.eu,https://alsacemarchespublics.eu,https://alsacemarchespublics.eu,https://alsacemarchespublics.eu,https://alsacemarchespublics.eu,,False,True,,False,True
21-91358,Ville de cappelle la grande,None,La maire,,,Place de la mairie bp 40009,59180,Cappelle la grande,,03-28-64-94-41,,,a-bodart@cappellelagrande.fr,https://www.marches-securises.fr,https://www.marches-securises.fr,,,,,False,False,,False,False
21-91359,SGAP de Marseille,None,,,FRL04,299 chemin de Sainte-Marthe CS 90495,13311,Marseille cedex 14,,(+33) 4-95-05-92-06,,(+33) 4-95-05-90-81,sgamisud-dagf-bcpa@interieur.gouv.fr,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=630586&orgAcronyme=g6l,,,,,,False,True,,False,True
21-91360,SIRESCO,Siresco,,,FR10,68 rue Gallieni,93000,Bobigny,,(+33) 1-41-83-20-43,,,servicemarches@siresco.fr,https://www.siresco.fr,https://siresco.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_Ujsa8B1svj,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_Ujsa8B1svj,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_Ujsa8B1svj,False,True,,False,True
21-91361,Maire de L'Île-Saint-Denis,None,,,FR1,1 rue Méchin,93450,L'ile-saint-denis,,(+33) 1-49-22-11-13,,,marchespublics@lile-saint-denis.fr,http://www.lile-saint-denis.fr,,,http://maximilien.fr,http://maximilien.fr,,False,True,,False,True
21-91362,Centre Gérontologique Départemental,None,,Cellule Marchés,FRL04,"176, Avenue de Montolivet - BP 50058",13375,Marseille cedex 12,,(+33) 4-91-12-74-20,,,cellule.marches@cgd13.fr,http://www.cgd13.fr,https://marchesonline.achatpublic.com/sdm/ent/gen/ent_recherche.do,,https://publication.marchesonline.com/publication/extern/apcConsultationAcces.do?idConsultation=MzQ4MDQ3OA%3D%3D,https://publication.marchesonline.com/publication/extern/apcConsultationAcces.do?idConsultation=MzQ4MDQ3OA%3D%3D,https://publication.marchesonline.com/publication/extern/apcConsultationAcces.do?idConsultation=MzQ4MDQ3OA%3D%3D,False,True,,False,True
21-91363,GHR Mulhouse Sud Alsace,None,,,FRF12,87 avenue d'Altkirch,68051,MULHOUSE Cedex,,(+33) -89-64-68-08,,(+33) -89-64-75-66,marches-publics@ghrmsa.fr,http://www.ghrmsa.fr,http://www.marchespublics-ch-mulhouse.omnikles.com,,http://www.ghrmsa.fr,http://www.marchespublics-ch-mulhouse.omnikles.com,,False,True,,False,True
21-91364,Cons. Départ. des Hauts-de-Seine,None,,Direction de la Commande Publique,FR105,"57, Rue des Longues Raies",92000,Nanterre,,(+33) 1-47-29-36-64,,(+33) 1-47-29-40-70,cmorin@hauts-de-seine.fr,http://www.hauts-de-seine.fr,https://marches.maximilien.fr/?page=frame.ConsultationsOrganisme&org=f4g,,https://marches.maximilien.fr,https://marches.maximilien.fr/index.php?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=792328&orgAcronyme=f4g,,False,True,,False,True
21-91365,Ville de Mainvilliers (28),None, Brahim IDBAHA,,,Pl du Marche,28300,Mainvilliers,,(+33) 2-37-18-56-80,,,mairie@ville-mainvilliers.fr,,,,,,,False,False,,False,False
21-91368,SDIS du Var,None,,,FRL05,Centre Jacques Vion87 boulevard Colonel Michel Lafourcade,83300,DRAGUIGNAN,,(+33) 4-94-60-37-00,,,gfincp_marches@sdis83.fr,https://www.sdis83.fr,https://www.marches-securises.fr,,,,,False,True,,False,True
21-91369,DIR INTERDEP ROUTES MASSIF CENTRAL,None,,,FRK1,60 avenue de l'Union Soviétique,63012,Clermont-ferrand,,(+33) 4-73-29-79-79,,(+33) 4-73-29-79-74,bas.dpee.dirmc@developpement-durable.gouv.fr,http://www.dir-mc.fr,,,,,,False,True,,False,True
