,BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
49,21-90759,False,False,False,False,False,True,False,,False,False,,,,False,"Compte tenu du certificat d'exclusivité remis à l'EFS-CPDL par la société Horiba ABX le 25 janvier 2021 (en date du 25 Janvier 2021), démontrant que cette dernière est la seule habilitée à commercialiser les produits en objet, et que ces produits sont les seuls à être validés, adaptés et optimisés pour une utilisation sur les automates d'hémato-cytologie PENTRA 80, PENTRA 80 XL et MICROS 60, le présent marché public est passé selon la procédure du marché public négocié sans publicité préalable et sans mise en concurrence prévue par les articles L. 2122-1 et R. 2122-3 du code de la commande publique, en raison des droits d'exclusivité détenus par ladite société"
50,21-91337,False,False,False,False,False,False,False,,False,False,,,,True,"Le résultat du vote et le classement du Jury ont décidé d'attribuer le concours après avoir évalué les projets, constaté leur conformité au règlement de concours et au vu des critères de jugement."
51,21-91671,False,False,False,False,False,False,False,,False,False,,,,True,Marché subséquent - Accord Cadre passé par UNIHA
52,21-91862,False,False,False,False,False,False,False,,False,False,,,,True,"Explication : En vertu des directives 2014/24/UE du parlement européen et du conseil du 26 février 2014, le montant cumulé des lots définis dans le cadre de la présente consultation est inférieur au seuil dapplication des Directives susvisées. Ce dernier nest donc pas soumis à l 'obligation de publication préalable dun avis de publicité au JOUE."
53,21-91948,True,False,False,False,False,False,False,,False,False,,,,False,"Lorsqu'aucune candidature ou aucune offre n'a été déposée dans les délais prescrits, seules des candidatures irrecevables ou des offres inappropriées ont été présentées, et pour autant que les conditions initiales du marché ne soient pas substantiellement modifiées"
54,21-91952,True,False,False,False,False,False,False,,False,False,,,,False,"Lorsqu'aucune candidature ou aucune offre n'a été déposée dans les délais prescrits, soit seules des candidatures irrecevables ou des offres inappropriées ont été présentées"
55,21-92312,False,False,False,False,False,True,False,,False,False,,,,False,La société CANON France dispose de l'exclusivité sur les prestations de maintenance des matériels de sa marque.
56,21-92504,False,False,False,False,False,False,False,,False,False,,,,True,"Le montant de cet accord-cadre à bons de commandes de services est estimé à 100 000 euro ht maximun sur toute la durée du marché, soit inférieur au seuil formalisé."
57,21-92520,False,False,False,False,False,False,False,,False,False,,,,True,"cet accorD-cadre de services a été estimé à 80 000 euro ht sur toute la durée du marché ( 3 ans), soit inférieur au seuil formalisé européen, et a été lancé en procédure adaptée."
58,21-92733,False,False,False,False,False,True,False,,False,False,,,,False,"Le marché est conclu sans publicité ni mise en concurrence préalables du fait : -d'une part, que seule la société Kosmos est en capacité de répondre au besoin exprimé par le groupement de commandes découlant de sa volonté de maintenir l'ENT acquis dans le cadre du marché public no 201800736 relatif à la fourniture d'un Espace Numérique de Travail pour les Établissements d'enseignement et de formation de la Région Grand Est et des départements situés sur le territoire régional, et conclu à l'issue d'une procédure d'appel d'offres ouvert ; - d'autre part, que Kosmos est la société éditrice exclusive de la solution Skolengo et qu'elle détient à ce titre l'ensemble des droits de propriété intellectuelles applicable à cette solution, comme confirmé dans l'attestation d'exclusivité produite par cette dernière (et non contestée) ; attestation accompagnée du certificat de dépôt correspondant auprès de l'Agence de Protection des Programmes.Il est ainsi fait application des dispositions de l'article R. 2122-3-3° du Code de la Commande Publique en vue de la conclusion du présent marché sans publicité ni mise en concurrence préalables, dans la mesure ou les prestations du marché ne peuvent être fournies que par la société Kosmos en raison de l'existence des droits d'exclusivité détenus par cette dernière."
59,21-92982,False,False,False,False,False,False,False,,False,True,,,,False,Marché de services passé sans publicité ni mise en concurrence préalables avec le lauréat du concours en application de l'article R2122-6 du Code de la commande publique.
60,21-93100,True,False,False,False,False,False,False,,False,False,,,,False,"Une première consultation lancée sous la forme d'un appel d'offres ouvert en application des articles R 2124-1, R 2124-2 alinéa 1 et R 2161-2 à R 2161-5 du Code de la Commande Publique a été déclarée infructueuse au motif d'absence d'offre pour les lots 1, 2 et 3 : avis d'attribution publié- Au BOAMP du 16/12/2020 - Annonce no 20-152351- Au JOUE du 18/12/2020 - Annonce no 2020/S 247-613443Les lots 1 et 2 ont été relancés sous forme de marché sans publicité ni mise en concurrence préalables en application de l'article R 2122-2 du Code de la commande publique."
61,21-93278,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu de la directive 2014/24/UE du parlement européen et du conseil du 26 février 2014, le présent marché, dune estimation initiale de 67200 HT (toutes entités confondues) est inférieur au seuil d'application de la directive susvisée. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de marché au JOUE."
62,21-93317,False,False,False,False,False,False,False,,False,False,,,,True,Le marché à fait l'objet d'une publication préalable au BOAMP et au JOUE.
63,21-93469,False,False,False,False,False,False,False,,False,False,,,,True,"En vertu des directives 2014/24/UE du Parlement européen et du Conseil du 26 février 2014, le montant du présent accord-cadre mono-attributaire à bons de commande de service est inférieur au seuil d'application des directives susvisées. Ce dernier n'est donc pas soumis à l'obligation de publication préalable d'un avis de publicité au JOUE"
64,21-93510,False,False,False,False,False,True,False,,False,False,,,,False,"La procédure utilisée a été le marché sans publicité ni mise en concurrence, conformément à l'article R2122-3-3° du code de la commande publique.Il s'agit d'un marché sans publicité ni mise en concurrence préalables en raison d'une exclusivité du titulaire sur la maintenance de son système."
65,21-93658,False,False,False,False,False,True,False,,False,False,,,,False,"La société NAELAN est "" éditeur et unique propriétaire du logiciel KSL Suite "", a "" conservé l'exclusivité des droits de commercialisation de ce logiciel pour la France "", et est "" la seule structure autorisée à délivrer les services de maintenance et de formation sur le territoire national Français ""."
66,21-93861,False,False,False,False,False,False,False,,False,False,,,,True,Il s'agit d'un Mapa
