,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
1859,21-112356,False,True,False,False,False,False,False,
1860,21-112357,False,False,False,False,False,False,True,
1861,21-112364,False,False,False,False,False,True,False,
1862,21-112365,False,False,False,False,True,False,False,
1863,21-112367,False,False,False,False,True,False,False,
1864,21-112372,False,False,False,False,True,False,False,
1865,21-112375,False,False,False,False,True,False,False,
1866,21-112387,False,False,False,False,False,False,False,
1867,21-112389,False,False,False,False,True,False,False,
1868,21-112392,False,False,False,False,False,False,False,
1869,21-112394,False,False,False,False,False,False,False,
1870,21-112404,False,False,False,False,False,False,False,
1871,21-112408,False,False,False,False,False,False,True,
1872,21-112410,False,False,True,False,False,False,False,
1873,21-112414,False,False,False,False,True,False,False,
1874,21-112416,False,False,False,False,True,False,False,
1875,21-112418,False,False,False,True,False,False,False,
1876,21-112419,False,False,False,False,True,False,False,
1877,21-112421,False,False,False,False,False,True,False,
1878,21-112423,False,False,False,False,True,False,False,
1879,21-112424,False,True,False,False,False,False,False,
1880,21-112426,False,False,False,False,True,False,False,
1881,21-112428,False,False,False,False,True,False,False,
1882,21-112430,False,False,False,True,False,False,False,
1883,21-112433,False,False,False,False,False,False,True,
1884,21-112434,False,False,False,False,True,False,False,
1885,21-112436,False,False,False,True,False,False,False,
1886,21-112437,False,False,False,False,True,False,False,
1887,21-112439,False,False,False,False,False,False,False,
1888,21-112441,False,False,False,False,False,False,True,
1889,21-112447,False,False,False,False,False,False,False,
1890,21-112453,False,False,False,False,True,False,False,
1891,21-112458,False,False,False,False,True,False,False,
1892,21-112459,False,False,False,False,False,False,False,
1893,21-112463,False,False,False,False,False,False,False,
1894,21-112466,False,False,False,False,False,False,False,
1895,21-112468,False,False,False,False,False,False,True,
1896,21-112469,False,False,False,True,False,False,False,
1897,21-112470,False,False,False,False,True,False,False,
1898,21-112474,False,False,False,False,True,False,False,
1899,21-112476,False,False,False,False,False,False,False,
1900,21-112477,False,False,False,False,False,False,False,
1901,21-112480,False,False,False,False,True,False,False,
1902,21-112484,False,False,False,False,False,False,False,
1903,21-112485,False,False,False,True,False,False,False,
1904,21-112491,False,False,False,False,False,True,False,
1905,21-112497,False,False,False,False,False,False,False,
1906,21-112500,False,False,False,False,True,False,False,
1907,21-112503,False,False,False,False,False,False,False,
1908,21-112504,False,False,False,False,False,False,True,
1909,21-112506,False,False,False,True,False,False,False,
1910,21-112508,False,False,False,False,True,False,False,
1911,21-112515,False,False,False,False,False,False,True,
1912,21-112519,False,False,False,False,False,False,True,
1913,21-112521,False,False,False,False,False,False,True,
1914,21-112522,False,False,False,False,False,False,True,
1915,21-112524,False,False,False,False,False,False,True,
1916,21-112525,False,False,False,False,False,False,True,
1917,21-112527,False,False,False,False,True,False,False,
1918,21-112528,False,False,False,False,False,False,True,
1919,21-112529,False,False,False,False,False,True,False,
1920,21-112531,False,False,False,False,False,False,True,
1921,21-112535,False,False,False,False,True,False,False,
1922,21-112542,False,True,False,False,False,False,False,
1923,21-112547,False,True,False,False,False,False,False,
1924,21-112551,False,False,False,False,False,True,False,
1925,21-112554,False,True,False,False,False,False,False,
1926,21-112555,False,True,False,False,False,False,False,
1927,21-112557,False,False,False,False,False,False,True,
1928,21-112559,False,False,False,False,True,False,False,
1929,21-112569,False,False,False,False,False,False,True,
1930,21-112571,False,False,False,False,True,False,False,
1931,21-112572,False,False,False,True,False,False,False,
1932,21-112575,False,False,False,False,False,False,True,
1933,21-112576,False,False,False,False,False,False,False,
1934,21-112577,False,False,False,False,False,True,False,
1935,21-112579,False,False,False,False,False,False,True,
1936,21-112588,False,False,False,False,True,False,False,
1937,21-112589,False,False,False,False,False,True,False,
1938,21-112594,False,False,False,False,False,False,False,
1939,21-112595,False,False,False,False,False,False,True,
1940,21-112599,False,True,False,False,False,False,False,
1941,21-112600,False,False,False,False,False,True,False,
1942,21-112603,False,False,False,False,True,False,False,
1943,21-112604,False,True,False,False,False,False,False,
1944,21-112605,False,False,False,False,False,True,False,
1945,21-112606,False,False,False,False,True,False,False,
1946,21-112608,False,True,False,False,False,False,False,
1947,21-112610,False,False,False,False,True,False,False,
1948,21-112614,False,False,False,False,False,True,False,
1949,21-112616,False,True,False,False,False,False,False,
1950,21-112620,False,False,False,False,True,False,False,
1951,21-112622,False,False,False,False,True,False,False,
1952,21-112623,False,False,False,True,False,False,False,
1953,21-112624,False,False,False,False,True,False,False,
1954,21-112626,False,False,False,False,False,False,True,
1955,21-112627,False,False,False,False,True,False,False,
1956,21-112632,False,False,False,False,False,False,True,
1957,21-112641,False,False,False,False,True,False,False,
1958,21-112644,False,False,False,False,True,False,False,
1959,21-112645,False,False,False,False,True,False,False,
1960,21-112646,False,False,False,False,False,True,False,
1961,21-112651,False,True,False,False,False,False,False,
1962,21-112657,False,False,False,False,False,False,False,
1963,21-112658,False,False,False,False,False,True,False,
1964,21-112662,False,False,False,False,False,True,False,
1965,21-112671,False,False,False,False,False,False,True,
1966,21-112672,False,False,False,False,True,False,False,
1967,21-112680,False,False,True,False,False,False,False,
1968,21-112683,False,False,False,False,True,False,False,
1969,21-112687,False,False,False,False,False,False,True,
1970,21-112688,False,False,False,False,False,False,False,
1971,21-112689,False,False,False,False,True,False,False,
1972,21-112692,False,False,False,False,False,False,True,
1973,21-112694,False,False,False,False,True,False,False,
1974,21-112695,False,False,False,False,False,False,False,
1975,21-112697,False,False,False,False,False,False,False,
1976,21-112699,False,False,False,False,True,False,False,
1977,21-112702,False,False,False,False,True,False,False,
1978,21-112704,False,True,False,False,False,False,False,
1979,21-112705,False,False,False,False,True,False,False,
1980,21-112707,False,False,False,False,True,False,False,
1981,21-112709,False,False,False,False,True,False,False,
1982,21-112710,False,False,False,False,True,False,False,
1983,21-112714,False,False,False,False,True,False,False,
1984,21-112717,False,False,False,False,True,False,False,
1985,21-112718,False,False,False,False,True,False,False,
1986,21-112720,False,False,False,False,True,False,False,
1987,21-112723,False,False,False,False,False,False,True,
1988,21-112726,False,False,False,False,True,False,False,
1989,21-112728,False,False,False,False,True,False,False,
1990,21-112729,False,False,False,False,True,False,False,
1991,21-112731,False,True,False,False,False,False,False,
1992,21-112734,False,False,False,False,False,False,True,
1993,21-112735,False,False,False,False,False,False,True,
1994,21-112736,False,False,False,False,False,False,True,
1995,21-112737,False,False,False,False,False,False,True,
1996,21-112739,False,False,False,False,False,False,True,
1997,21-112741,False,False,False,True,False,False,False,
1998,21-112748,False,False,False,False,False,False,False,
1999,21-112749,False,False,False,False,False,False,True,
2000,21-112751,False,False,False,False,False,False,True,
2001,21-112761,False,False,False,False,True,False,False,
2002,21-112762,False,False,False,False,True,False,False,
2003,21-112766,False,False,False,False,False,False,True,
2004,21-112768,False,False,False,False,True,False,False,
2005,21-112774,False,True,False,False,False,False,False,
2006,21-112776,False,False,False,False,False,False,True,
2007,21-112780,False,False,False,True,False,False,False,
2008,21-112783,False,False,False,False,False,True,False,
2009,21-112786,False,False,False,False,False,False,False,
2010,21-112787,False,False,False,False,True,False,False,
2011,21-112789,False,True,False,False,False,False,False,
2012,21-112790,False,False,False,False,True,False,False,
2013,21-112792,False,False,False,False,False,False,False,
2014,21-112794,False,False,False,False,True,False,False,
2015,21-112795,False,False,False,False,True,False,False,
2016,21-112796,False,False,False,False,False,False,True,
2017,21-112797,False,False,False,True,False,False,False,
2018,21-112801,False,False,False,False,True,False,False,
2019,21-112803,False,False,False,False,False,True,False,
2020,21-112805,False,False,False,False,True,False,False,
2021,21-112806,False,False,False,False,True,False,False,
2022,21-112812,False,False,False,False,False,False,True,
2023,21-112815,False,False,False,False,False,False,True,
2024,21-112816,False,False,False,False,True,False,False,
2025,21-112817,False,False,False,False,True,False,False,
2026,21-112818,False,False,False,False,False,False,True,
2027,21-112821,False,False,False,False,True,False,False,
2028,21-112835,False,False,False,False,True,False,False,
