,BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
2388,21-111852,,,,False,False,"L'exécution des prestations débute à compter de la date fixée par ordre de service.Une retenue de garantie est prévue au contrat. Elle peut être remplacée par une garantie à première demande.Le contrat prévoit le versement d'une avance, avec obligation de constituer une garantie à première demande en contrepartie.Les prestations sont réglées par des prix forfaitaires.Les prix sont révisables.Le paiement des prestations se fera dans le respect du délai global de paiement applicable à l'acheteur.Fonds propres du Conseil départemental",False,True,False,CF_NIV_SUIV,['FR'],
2389,21-111853,,,,False,False,"L'exécution des prestations débute à compter de la date de notification du contrat.Aucune clause de garantie financière prévue.Le contrat prévoit le versement d'une avance, sans obligation de constituer une garantie financière pour en bénéficier.Les prestations sont réglées par des prix unitaires.Les prix sont révisables.Le paiement des prestations se fera dans le respect du délai global de paiement applicable à l'acheteur.La consultation comporte des conditions d'exécution à caractère environnemental détaillées au cahier des charges.",False,True,False,CF_NIV_SUIV,['FR'],
2390,21-111854,,"Le délai global de paiement ne pourra excéder 30 jours, selon les dispositions de l'article R2192-10 du code de la commande publique","Aucune forme de groupement n'est imposée par le pouvoir adjudicateur.Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements.En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2391,21-111855,,Le financement est assuré par le budget départemental sur les ressources publiques et le paiement se fera par mandat administratif dans un délai global de 30 jours,"Conformément aux articles R2142-19 à R2142-27 du code de la commande publique, les entreprises candidates peuvent se présenter sous la forme d'un groupement.Les candidats peuvent présenter une offre, soit en qualité de candidat individuel, soit en qualité de membre de un groupement. Ils ne peuvent cumuler les deux qualités.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2392,21-111856,,,,False,False,L'exécution des prestations débute à compter de la date de notification du contrat.Le paiement des prestations se fera dans le respect du délai global de paiement applicable à l'acheteur.,False,True,False,CF_NIV_SUIV,['FR'],
2393,21-111860,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2394,21-111862,,,,False,False,,False,False,True,CF_NIV_SUIV,,
2395,21-111863,"Aucune clause de garantie financière prévue. Garantie à première demande couvrant 100,0 % du montant de l'avance.","Prestations réglées par un prix global forfaitaire Prix révisables annuellement. Avance de 10,0 % accordée dans les conditions prévues au contrat. Délai global de paiement des prestations de 30 jours.",Aucune forme de groupement imposée à l'attributaire du marché. Interdiction de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements.,False,False,Consultation comportant des conditions d'exécution à caractère environnemental détaillées dans le CCAP.,False,True,False,CF_NIV_SUIV,['FR'],
2396,21-111864,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2397,21-111866,Aucune garantie financière prévue en contrepartie du versement de l'avance.,"Prestations réglées par un prix global forfaitaire Prix révisables mensuellement. Avance de 5,0 % accordée dans les conditions prévues au contrat. Délai global de paiement des prestations de 30 jours.",Aucune forme de groupement imposée à l'attributaire du marché.,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2398,21-111868,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2399,21-111872,,,"Le groupement sera composé au minimum :-D'un concepteur et fabricant de jeu-D'un designer ou architecte ou artiste plasticien (peut être inclus dans les effectifs du concepteur/fabricant)-D'un bureau de contrôle technique disposant de compétences en contrôle d'aires de jeux publiques-D'une entreprise disposant de compétences en pose de jeux et de sols amortissants pour aires de jeux (peut être inclus dans les effectifs du concepteur/fabricant)En cas de groupement conjoint, le mandataire sera solidaire.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2400,21-111873,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2401,21-111875,,,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
2402,21-111876,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2403,21-111877,,Cf. DCE,,False,False,,False,False,False,CF_NIV_SUIV,['FR'],
2404,21-111878,,Les prestations seront financées selon les modalités suivantes : Budget de la collectivitéLes sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes,Le pouvoir adjudicateur ne souhaite imposer aucune forme de groupement à l'attributaire du marché.Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements ou en qualité de membres de plusieurs groupements,False,False,,False,True,False,CF_NIV_SUIV,,
2405,21-111881,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
2406,21-111883,"Il est prévu une retenue de garantie qui est prélevée par fractions sur chacun des versements autres qu'une avance. Le montant de la retenue de garantie est égal à 5 % (3% pour les PME) du montant initial augmenté, le cas échéant, du montant des avenants.La retenue de garantie peut être remplacée par une garantie à première demande. Le montant de la garantie à première demande ne peut être supérieur à celui de la retenue de garantie qu'elle remplace. Son objet est identique à celui de la retenue de garantie qu'elle remplace.",,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
2407,21-111884,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2408,21-111885,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
2409,21-111892,,,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
2410,21-111893,,Modalités de financement : budget de la CGSS de la Martinique Modalités de paiement : virement bancaire dans la limite de 30 jours conformément au décret 408-2008 du 28 avril 2008 relatif à la mise en oeuvre du délai maximum de paiement dans les marchés publics- paiement direct.,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2411,21-111894,Il ne sera opéré aucune retenue de garantie.,Le paiement se fera par mandat administratif dans les conditions du cahier des charges. Financement sur fonds propres du maître d'ouvrage.,Le marché pourra être attribué à une seule entreprise ou à un groupement d'entreprises. Il est interdit aux candidats de présenter leur offre en agissant à la fois en qualité de candidat individuel ou de membre d'un ou plusieurs groupements.,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2412,21-111897,,Paiement par virement administratif dans un délai maximum de 30 jours à compter de la réception de la facture,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
2413,21-111900,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
