,BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
2585,21-122967,False,False,False,False,False,False,EPCI
2586,21-122968,True,False,False,False,False,False,
2587,21-122973,False,False,False,False,False,False,Etablissement public de santé
2588,21-122978,False,False,True,False,False,False,
2589,21-122979,True,False,False,False,False,False,
2590,21-122980,False,False,True,False,False,False,
2591,21-122982,False,False,False,False,False,False,Hôpital public
2592,21-122983,True,False,False,False,False,False,
2593,21-122986,False,False,False,False,True,False,
2594,21-122987,True,False,False,False,False,False,
2595,21-122989,False,False,False,False,True,False,
2596,21-122991,True,False,False,False,False,False,
2597,21-122992,False,False,True,False,False,False,
2598,21-122993,False,False,False,False,False,False,Aménageur
2599,21-122997,False,False,False,False,True,False,
2600,21-123000,True,False,False,False,False,False,
2601,21-123001,False,False,False,False,False,False,Groupement de Coopération Sanitaire
2602,21-123002,False,False,False,False,False,False,OIER (organisme inter-établissement du réseau des chambres d'agriculture)
2603,21-123005,True,False,False,False,False,False,
2604,21-123006,False,False,False,False,True,False,
2605,21-123010,False,False,True,False,False,False,
2606,21-123012,False,False,False,False,True,False,
2607,21-123015,False,False,True,False,False,False,
2608,21-123017,False,False,False,False,False,False,autre
2609,21-123022,False,False,True,False,False,False,
2610,21-123023,False,False,True,False,False,False,
2611,21-123026,False,False,True,False,False,False,
2612,21-123027,False,False,True,False,False,False,
2613,21-123028,True,False,False,False,False,False,
2614,21-123030,False,False,False,False,False,False,ESH
2615,21-123041,False,False,True,False,False,False,
2616,21-123042,False,False,True,False,False,False,
2617,21-123043,False,False,True,False,False,False,
2618,21-123045,False,False,False,False,True,False,
2619,21-123048,True,False,False,False,False,False,
2620,21-123049,False,False,True,False,False,False,
2621,21-123055,False,False,True,False,False,False,
2622,21-123057,False,False,False,False,False,False,Etablissement public territorial
2623,21-123058,False,False,False,False,True,False,
2624,21-123059,False,False,True,False,False,False,
2625,21-123062,False,False,False,False,False,False,Union des caisses nationales de Sécurité sociale (UCANSS)
2626,21-123064,False,False,False,False,False,False,Centre Hospitalier Universitaire
2627,21-123067,False,False,False,False,False,False,Etablissement public de santé
2628,21-123069,False,False,False,False,True,False,
2629,21-123070,False,False,False,False,False,False,Organisme privé chargé de la gestion d'un service public
2630,21-123072,False,False,False,False,False,False,SYNDICAT DE TRAITEMENT DES DECHETS
2631,21-123076,False,False,False,False,False,False,Centre Hospitalier Universitaire
2632,21-123083,False,False,True,False,False,False,
2633,21-123085,False,False,False,False,False,False,autre
2634,21-123088,True,False,False,False,False,False,
