,BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
0,19-158077,Aéroport de Bâle-Mulhouse,None,,,FRF12,Établissement public franco-suisse  - BP 60120,68304,saint-louis cedex,,(+33) 3-89-90-31-11,,,sma@euroairport.com,http://www.euroairport.com,https://www.marches-securises.fr/,,https://www.marches-securises.fr/,https://www.marches-securises.fr/,,False,True,,False,True
1,19-187743,Ville de Paris,None,,"Direction de la Voirie et des Déplacements de la Ville de Paris - Service des Affaires Juridiques et Financières - Bureau de la coordination des achats - Bureau 5.28 RC, Direction de la Voirie et des Déplacements -BPBM, F - 75639 Paris Cedex 13, PARIS, F,",FR101,,None,Paris,,(+33) 1-40-28-73-68,,,dvd.achatsmarches@paris.fr,http://www.paris.fr,,,,,,False,False,,False,False
2,19-50785,COMMUNE DE MONTIGNY EN GOHELLE,None,"Della Franca Marcello, Maire",,,"14, rue Uriane Sorriaux",62640,Montigny-en-Gohelle,,,,,achats.publics@mairie-montigny.fr,,,,,,,False,False,,False,False
3,20-131517,Ville d'Anzin,None,M. le Maire,,,"Hôtel de Ville - 26, place Roger Salengro - B.P. 60089",59416,Anzin cedex,,03-27-28-21-28,,03-27-28-21-26,bflandrin@ville-anzin.fr,,https://marchespublics596280.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=21715&orgAcronyme=60014,,,,,False,False,,False,False
4,20-135163,VILLE DE SALINS LES BAINS,None,cédric dietrich,,,1 place des alliés et de la résistancebp 108,39110,salins les bains,,03-84-73-10-12,,,mairie@mairie-salinslesbains.fr,,,,,,,False,False,,False,False
5,20-84791,Agence Régionale du Tourisme Grand Est,None,Laetitia COIN,,,"5, rue de JérichoBP 50319",51013,Châlons en Champagne Cedex,,03-26-21-85-80,,,laetitia.coin@art-grandest.fr,http://www.art-grandest.fr,https://marchespublics.grandest.fr,,,,,False,False,,False,False
6,21-104970,METROPOLE DE LYON,None,,Clément Varet,FRK26,20 RUE DU LAC CS 33569,69505,LYON CEDEX 03,,,,,uniteachatproprete@grandlyon.com,http://marchespublics.grandlyon.com/,http://marchespublics.grandlyon.com/,,http://marchespublics.grandlyon.com/,http://marchespublics.grandlyon.com/,,False,True,,False,True
7,21-105227,FranceAgriMer,None,,SAF Unité Achats Marchés,FR106,12 rue Henri ROL TANGUY,93555,Montreuil cedex,,(+33) 1-73-30-20-00,,(+33) 1-73-30-30-34,mpublics@franceagrimer.fr,http://www.marches-publics.gouv.fr/?page=entreprise.AccueilEntreprise,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&amp;AllCons&amp;refConsultation=752184&amp;orgAcronyme=b4n,,,,,False,True,,False,True
8,21-105835,Ville de Romilly-sur-Seine,None,,http://www.xmarches.fr,FR,1 rue de la boule d'or B.P.154,10105,romilly sur seine cedex,,(+33) -03-25-39-43-80,,(+33) -03-25-39-51-50,compub@mairie-romilly-sur-seine.fr,http://www.xmarches.fr,http://www.xmarches.fr,,,,,False,True,,False,True
9,21-110950,Conseil Départemental Haute-Garonne,None,,Direction Commande Publique-DA Marchés Publics,FRJ23,1 boulevard de la Marquette,31090,Toulouse cédex 9,,(+33) 5-34-33-35-85,,,dcp-mpti@cd31.fr,http://www.haute-garonne.fr,http://www.haute-garonne.marches-publics.info,,,,,False,True,,False,True
10,21-111427,Vichy Communauté,None,M. le Président,,,"9, Place Charles de Gaulle - cS 92956",03200,Vichy,,,,,,https://vichy-communaute.fr,http://vichy-communaute.achatpublic.com,,,,,False,False,,False,False
11,21-111880,Ville de Wissous,None,,,FR,Place de la libération,91321,Wissous,,,,,agayrard@wissous.fr,http://www.wissous.fr,http://www.achats-franciliens.fr,,,,,False,True,,False,True
12,21-112983,CA Nîmes Métropole,None,,,FRJ2,Colisée 2 - 1er étage - 1 rue du Colisée,30947,CA Nîmes Métropole,,(+33) 4-66-27-37-00,,,commande-publique-agglo@nimes-metropole.fr,http://www.nimes-metropole.fr,http://www.marches-securises.fr,,,,,False,True,,False,True
13,21-113741,Rouen Habitat,None,,,FRD2,,76000,Rouen,,,,,contact@rouenhabitat.fr,http://www.achatpublic.com,http://www.achatpublic.com,,http://www.achatpublic.com,http://www.achatpublic.com,,False,True,,False,True
14,21-115588,COLLECTIVITE TERRITORIALE MARTINIQUE,None,,,FR,rue Gaston Deffere CS 30137,97261,Fort-de-France,,,,,servicecommandepublique@collectivitedemartinique.mq,https://www.collectivitedemartinique.mq,https://www.collectivitedemartinique.achatpublic.com,,https://collectiviteterritorialedemartinique.achatpublic.com,https://collectiviteterritorialedemartinique.achatpublic.com,,False,True,,False,True
15,21-115829,S.E.R.S.,None,,,FRF11,MANDATAIRE DE LA REGION GRAND EST - 10 rue Oberlin - BP 20165,67004,Strasbourg Cedex,,(+33)3 -88-37-88-88,,,sers@sers.eu,http://www.sers.eu,http://www.sers.eu,,http://www.sers.eu,http://www.sers.eu,,False,True,,False,True
16,21-116972,SDIS de la Guadeloupe,None,,Service de la Commande Publique,FR,"10 rue Georges BIRAS - Parc d'activités ""La providence"" - Zac de dothémare",97139,Abymes,,(+33) 5-90-48-99-71,,,marchespublics@sdis971.fr,http://sdis971.gp,http://sdis971.gp,,http://www.achatpublic.com,http://www.achatpublic.com,,False,True,,False,True
17,21-117265,Plate Forme Achats Finances Nord Est,13001532700010,,Mme BORUS Yvane,FRF33,Division Achats Publics - 10 rue d'Asfeld,57044,METZ,,,,,pfc-est.resp-pil-prog.fct@intradef.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,True,False,,False,True
18,21-117734,CHU REIMS,26510005700487,,,FRF23,"en qualité détablissement support du Groupement Hospitalier Universitaire de Champagne , 45 rue Cognacq-Jay",51092,"Reims cedex, cellule des marchés publics",,(+33) 3-26-78-80-44,,,cellulemarches@chu-reims.fr,http://www.chu-reims.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
19,21-118368,Ville de Noyon,None,,CCPN campus Inovia- 1435 boulevard cambronne - 60400 NOYON,FRE22,place Bertrabd Labarre,None,Noyon,,(+33) 0-36-46-06-55,,,marchespublics@paysnoyonnais.fr,http://www.ville-noyon.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
20,21-121273,Marine/DCSSF/DSSF Toulon,None,Mr le directeur du service de soutien de la flotte de Toulon,,,bcrm de Toulon dssf Toulon B.P. 25,83800,Toulon cedex 9,,(+33) 4-22-42-72-97,,,luu.ngoc-tam@intradef.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,False,False,,False,False
21,21-121536,APIJ,None,Daniel HORTELANO,,,67 avenue de Fontainebleau,94270,Le Kremlin-Bicêtre,,,,,daniel.hortelano@apij-justice.fr,https://www.apij.justice.fr/,https://www.achatpublic.com/,,,,,False,False,,False,False
22,21-121685,IMSA,None,,Cellule Marchés Publics,FRJ28,Avenue du Clos Maury CS 40217,82002,Montauban,,(+33) 5-63-68-47-52,,(+33) 5-63-68-48-89,marchespublics.grprec@imsa.msa.fr,http://informatique.msa.fr/,https://msa.achatpublic.com/,,,,,False,True,,False,True
23,21-12221,Collège Paul Jean Louis,19973161300014,,,FRY30,Avenue Paul Castaing - BP 158,97320,Saint LAurent du MAroni,GF,(+59)4- 5-94-34-03-54,,,alexandre.iba-zizen@ac-guyane.fr,https://clg-paul-jean-louis.eta.ac-guyane.fr,,,https://mapa.aji-france.com/mapa/marche/112237/show,https://mapa.aji-france.com/mapa/marche/112237/show,,False,True,,False,True
24,21-122384,DDTM-29,None,Claire LE MARC,,,2Bd du Finistere,29325,Quimper,,02-98-76-59-66,,,claire.le-marc@finistere.gouv.fr,,,,,,,False,False,,False,False
25,21-122616,Aéroport de Bâle-Mulhouse,None,,,FRF12,,68304,Saint-Louis,,(+33) 3-89-90-31-11,,,sma@euroairport.com,http://www.euroairport.com,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
26,21-122806,Commune de Vauvert,None,M le Maire,,,2 place de la Libération et du 8 mai 1945,30600,Vauvert,,04-66-73-10-73,,04-66-73-10-88,mairie@vauvert.com,https://www.vauvert.com/,https://webmarche.adullact.org,,,,,False,False,,False,False
