,BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
0,19-50785,False,False,False,False,False,False,True,
1,20-131517,False,False,False,False,True,False,False,
2,20-135163,False,False,False,False,True,False,False,
3,20-84791,False,False,False,False,False,False,False,
4,21-111427,False,False,False,False,False,False,True,
5,21-121536,False,False,False,False,False,True,False,
6,21-122384,False,True,False,False,False,False,False,
7,21-122806,False,False,False,False,True,False,False,
8,21-125296,False,False,False,False,True,False,False,
9,21-125707,False,False,False,False,False,False,True,
10,21-126702,False,False,False,False,True,False,False,
11,21-126729,False,False,False,False,True,False,False,
12,21-130237,False,False,False,False,False,False,True,
13,21-132759,False,False,False,False,True,False,False,
14,21-133886,False,True,False,False,False,False,False,
15,21-134940,False,False,False,True,False,False,False,
16,21-135241,False,False,True,False,False,False,False,
17,21-135278,False,False,False,False,True,False,False,
18,21-135747,False,False,False,False,True,False,False,
19,21-136670,False,False,False,False,True,False,False,
20,21-137143,False,True,False,False,False,False,False,
21,21-137200,False,False,False,True,False,False,False,
22,21-137455,False,False,False,False,False,False,False,
23,21-137474,False,False,False,False,True,False,False,
24,21-137926,False,False,False,False,False,False,True,
25,21-138055,False,False,False,False,True,False,False,
26,21-138250,False,False,False,False,True,False,False,
27,21-138258,False,False,False,False,True,False,False,
28,21-138529,False,False,False,False,False,True,False,
29,21-139136,False,False,False,False,False,False,False,
30,21-139373,False,False,False,True,False,False,False,
31,21-139505,False,False,False,False,True,False,False,
32,21-139725,False,False,False,True,False,False,False,
33,21-139733,False,False,False,False,True,False,False,
34,21-139902,False,False,False,False,False,True,False,
35,21-140221,False,False,False,False,True,False,False,
36,21-140285,False,False,False,False,True,False,False,
37,21-140439,False,False,False,False,False,False,True,
38,21-140574,False,False,False,False,True,False,False,
39,21-140662,False,False,False,False,True,False,False,
40,21-140841,False,False,False,False,True,False,False,
41,21-141129,False,False,False,True,False,False,False,
42,21-141169,False,False,False,False,True,False,False,
43,21-141492,False,False,False,True,False,False,False,
44,21-141544,False,False,False,False,False,False,False,
45,21-141943,False,False,False,False,False,True,False,
46,21-142292,False,False,False,True,False,False,False,
47,21-142314,False,False,False,False,False,False,True,
48,21-142331,False,False,False,False,False,False,True,
49,21-142771,False,False,False,False,True,False,False,
50,21-142780,False,False,False,False,False,True,False,
51,21-142788,False,True,False,False,False,False,False,
52,21-142842,False,True,False,False,False,False,False,
53,21-142893,False,False,False,False,False,True,False,
54,21-143047,False,False,False,False,True,False,False,
55,21-143078,False,False,False,False,False,True,False,
56,21-143174,False,False,False,False,False,False,False,
57,21-143490,False,False,False,False,False,True,False,
58,21-143563,False,True,False,False,False,False,False,
59,21-143576,False,False,False,False,True,False,False,
60,21-143645,False,False,False,False,False,False,False,
61,21-143659,False,False,False,False,True,False,False,
62,21-143739,False,True,False,False,False,False,False,
63,21-143815,False,False,False,False,True,False,False,
64,21-143820,False,False,False,False,False,False,False,
65,21-143900,False,False,False,False,False,False,False,
66,21-143919,False,False,False,False,True,False,False,
67,21-144088,False,False,False,False,False,True,False,
68,21-144123,False,False,False,False,True,False,False,
69,21-144203,False,False,False,True,False,False,False,
70,21-144217,False,False,False,False,False,True,False,
71,21-90754,False,False,False,False,True,False,False,
72,21-144277,False,False,False,False,False,False,False,
73,21-144281,False,False,False,True,False,False,False,
74,21-144301,False,False,False,False,False,False,True,
75,21-144434,False,False,False,False,False,False,False,
76,21-144487,False,False,False,False,True,False,False,
77,21-144506,False,False,False,False,True,False,False,
78,21-144774,False,False,False,False,False,True,False,
79,21-144781,False,False,False,False,False,False,False,
