BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
19-181591,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
21-101259,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-102830,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-11523,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-124028,,Les règlements s'effectuent par virement avec délai de paiement à 30 jours maximum conformément aux articles L2392-10 et R2392-10 du CCP.Le financement est assuré exclusivement par les ressources budgétaires de l'Etat.La monnaie de compte est l'euro.,"Les candidats doivent indiquer dans leur dossier de candidature s'ils se présentent en tant que candidat individuel ou en tant que groupement d'opérateurs économiques. En application de l'article R2342-12 du code de la commande publique, un même opérateur économique ne peut pas être mandataire de plus d'un groupement pour un même marché public.De plus, le pouvoir adjudicateur interdit aux candidats de présenter une offre en agissant à la fois :-en qualité de candidats individuels et de membres d'un ou plusieurs groupements ;-en qualité de membres de plusieurs groupements.En cas de groupement d'opérateurs économiques, celui-ci devra revêtir la forme d'un groupement d'entreprises solidaires ou la forme d'un groupement d'entreprises conjointes avec un mandataire solidaire.Pour l'exécution de l'accord-cadre, le mandataire du groupement est solidaire de chacun des membres du groupement pour ses obligations contractuelles.La constitution d'un groupement et la modification d'un groupement sont acceptées entre la remise des candidatures et la remise des offres initiales si tous les membres du groupement ont été autorisés à présenter une offre ou à y participer et le groupement nouvellement constitué doit respecter les exigences relatives aux capacités professionnelles, techniques et financières des candidats.En cas de modification ou de constitution d'un groupement, tous ses membres doivent avoir été autorisés à présenter une offre ou à y participer, au moins en tant que sous-contractant accepté dans la phase de candidature, et le groupement modifié ou nouvellement constitué doit respecter les exigences de l'acheteur relatives aux capacités des candidats.",False,False,"Conformément aux dispositions de l'article 5.3.2 de l'instruction générale interministérielle no 1300 sur la protection du secret de la défense nationale (arrêté du 13 novembre 2020), l'exécution du marché relève des contrats sensibles. Ainsi :- les personnes morales admises à soumissionner peuvent faire l'objet d'une enquête administrative à la demande de l'autorité contractante ;- les personnes physiques devant effectivement exécuter les prestations doivent faire l'objet d'une enquête administrative de sécurité préalablement au début d'exécution des prestations du marché et d'une autorisation administrative délivrée pour chaque exécutant par l'officier de sécurité responsable de la zone. De même, chaque personne physique devant intervenir devra au préalable fournir à l'administration une déclaration individuelle attestant notamment qu'elle a pris connaissance des dispositions des articles 413-9 à 413-12 du code pénal.",False,False,False,CF_NIV_SUIV,['FR'],
21-124594,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-125449,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-125672,,,Prestataire unique ou prestataires groupés solidaires représentés par un mandataire.,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-132552,,financement sur le budget propre de Franceagrimer. Délai global de paiement: 30 jours. Versement possible d'une avance,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-133594,,": règlement des dépenses s'effectuera par mandat administratif suivi d'un virement, selon les règles de la comptabilité publique et dans les délais réglementaires (délai global de paiement de 30 jours conformément aux dispositions de l'article R2192-10 du Code de la commande publique.).",aucune forme de groupement n'est imposée par le pouvoir adjudicateur.,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-136410,,,,False,False,,False,True,True,CF_NIV_SUIV,,
21-138297,Le versement d'une avance sera soumis à la fourniture d'une garantie à première demande.,"Les travaux seront financés sur fonds propres, emprunt.","Dans le cas d'une candidature présentée sous forme de groupement, le candidat sera soit un groupement conjoint avec mandataire solidaire, soit un groupement dont la transformation en groupement conjoint dont le mandataire est solidaire sera exigée après l'attribution du marché.",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-139362,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-140748,,Le délai global de paiement est de 30 jours.Modalités de règlement des comptes : sur les fonds propres du Département. Le mode de règlement de l'administration est le mandat administratif,"En cas de groupement d'opérateurs économiques, la forme souhaitée par le pouvoir adjudicateur est un groupement solidaire. Si le groupement attributaire est d'une forme différente, il pourra se voir contraint d'assurer sa transformation pour se conformer au souhait du pouvoir adjudicateur.",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
21-142867,Type de sureté : Retenue de garantie 5% - Délai de garantie : 1 an,mode de financement : Budget départemental - mandat administratif - délai global de paiement 30 jours- mode de paiement : Virement bancaire (Mandat administratif).- prix global et forfaitaire.- prix ferme actualisable.- avance prévue.,"Aucune forme de groupement n'est imposée par le pouvoir adjudicateur.Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements, conformément à l'article R 2142-21 du Code de la Commande Publique.Le pouvoir adjudicateur interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de membres de plusieurs groupements, conformément à R 2142-21 du Code de la Commande Publique.En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article R 2142-24 du Code de la Commande Publique.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
21-142989,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-143724,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-144887,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-147249,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
21-147347,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
