BOAMP_AVIS_NUM,D_13_01_Conditionparticipation_Critereselection,D_13_02_Conditionparticipation_Situationjuridique,D_13_03_Conditionparticipation_Situationjuridiquesst,D_13_04_Conditionparticipation_Capecomarcheoui,D_13_05_Conditionparticipation_Capecomarchenon,D_13_06_Conditionparticipation_Capeco,D_13_07_Conditionparticipation_Capecosst,D_13_08_Conditionparticipation_Capeconiveaumini,D_13_09_Conditionparticipation_Capeconiveauminisst,D_13_10_Conditionparticipation_Captechoffreoui,D_13_11_Conditionparticipation_Captechoffrenon,D_13_12_Conditionparticipation_Captech,D_13_13_Conditionparticipation_Captechsst,D_13_14_Conditionparticipation_Captechniveaumini,D_13_15_Conditionparticipation_Captechniveauminisst,D_13_16_Conditionparticipation_Criteresparticipation,D_13_17_Conditionparticipation_Marchereserveoui,D_13_17_01_Conditionparticipation_Marchereserveoui_Ateliersproteges,D_13_17_02_Conditionparticipation_Marchereserveoui_Emploisproteges,D_13_18_Conditionparticipation_Marchereservenon,D_13_19_Conditionparticipation_Prestationreserveeoui,D_13_20_Conditionparticipation_Prestationreserveenon,D_13_21_Conditionparticipation_Conditionparticuliereexecution,D_13_22_Conditionparticipation_Indicationobligatoirenomqualificationsoui,D_13_23_Conditionparticipation_Indicationobligatoirenomqualificationsnon,D_13_24_Conditionparticipation_Justificatifscandidat,D_13_24_01_Conditionparticipation_Justificatifscandidat_P,D_13_25_Conditionparticipation_Eligiblemps,D_13_25_01_Conditionparticipation_Eligiblemps_Oui,D_13_25_02_Conditionparticipation_Eligiblemps_Non
19-181591,,Cf RC,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,True,Règlementation ICPE,False,Cf. RC et CDC,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-101259,,"Si le candidat utilise le DUME :* Les documents et renseignements mentionnés à l'article R.2143-4 du CCP en complétant le DUME rédigé en français.Si le candidat n'utilise pas le DUME :* Les documents et renseignements mentionnés à l'article R.2143-3 du CCP, à cet effet le candidat pourra utiliser les formulaires DC1 et DC2 téléchargeables sur le site http://www.economie.gouv.fr (DAJ / Formulaires - Marchés publics) ;* La forme juridique du candidat ;* En cas de groupement, sa nature et le nom du mandataire ;* Le(s) lot(s) pour lequel/lesquels la candidature est déposée ;* Les pouvoirs de la personne habilitée pour engager le candidat y compris, en cas de groupement, le cas échéant, les habilitations nécessaires pour représenter les entreprises au stade de la passation du marché* Les candidats entrant dans les cas des interdictions de soumissionner prévues aux articles L.2141-1 à L.2141-6 du CCP seront exclus;* Les candidats entrant dans les cas des interdictions de soumissionner prévues aux articles L.2141-7 à L.2141-11 du CCP pourront être exclus;",,,True,"Si le candidat utilise le DUME :* Les documents et renseignements mentionnés à l'article R.2143-4 du CCP en complétant le DUME rédigé en français avec :Si le candidat n'utilise pas le DUME :* Une déclaration concernant le chiffre d'affaires global et le chiffre d'affaires concernant les prestations objet du marché, réalisés au cours des 3 derniers exercices disponibles ;* Une déclaration appropriée de banques ou preuve d'une assurance pour les risques professionnels par attestation conforme à l'arrêté du 5 janvier 2016 ;* Des bilans ou extraits de bilans, concernant les 3 dernières années, des opérateurs économiques pour lesquels létablissement des bilans est obligatoire en vertu de la loi ;Le candidat peut prouver sa capacité par tout autre document considéré comme équivalent par le pouvoir adjudicateur.",,,,,True,"Si le candidat utilise le DUME :* Les documents et renseignements mentionnés à l'article R.2143-4 du CCP en complétant le DUME rédigé en français avec :Si le candidat n'utilise pas le DUME :A - Expérience :La présentation d'une liste des principaux services effectués au cours des 3 dernières années, indiquant le montant, la date et le destinataire public ou privé. Cette présentation pourra être accompagnée d'attestations de l'acheteur.B - Capacités professionnelles :* L'indication des titres d'études et professionnels de l'opérateur économique et/ou des cadres de l'entreprise, et notamment des responsables de prestation de services de même nature que celle du marché ;C - Capacités techniques :* Une déclaration indiquant les effectifs moyens annuels du candidat et l'importance du personnel d'encadrement, pour chacune des 3 dernières années ;* Une déclaration indiquant l'outillage, le matériel et l'équipement technique dont le candidat dispose pour la réalisation du marché public ;Pour justifier de ses capacités professionnelles, techniques et financières, le candidat, même sil sagit dun groupement, peut demander que soient également prises en compte les capacités professionnelles, techniques et financières dautres opérateurs économiques quelle que soit la nature juridique des liens existant entre ces opérateurs et lui (notamment en cas de sous-traitance). En outre, pour justifier quil dispose des capacités des opérateurs économiques pour lexécution du marché, le candidat produit un engagement écrit de ceux-ci.Lacheteur exige la fourniture des documents demandés même sils ont déjà été transmis lors dune précédente consultation.",,,,,CF_NIV_SUIV,False,False,True,,True,,True,False,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-102830,,,,,True,,,,,,True,,,,,,CF_NIV_SUIV,False,False,True,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-11523,,,,,True,voir règlement de la consultation,,,,,False,,,,,,CF_NIV_SUIV,False,False,True,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,True,False
21-124028,,"Les documents demandés peuvent être regroupés dans les formulaires téléchargeables sur le site https://www.economie.gouv.fr/entreprises dans la rubrique 'formulaires1 -Le candidat (ou le groupement) devra produire le formulaire DC1 renseigné dans son intégralité et PDifié, accessible sur le site http://www.economie.gouv.fr/daj/formulaires-declaration-du-candidat ou une lettre de candidature avec informations équivalentes et une déclaration sur l'honneur justifiant qu'il n'entre dans aucun des cas mentionnés aux articles L2341-1 à L2341-3 du code de la commande publique. 2 - Le candidat devra produire le Le formulaire DC2 renseigné et PDifié, accessible sur le site http://www.economie.gouv.fr/daj/formulaires-declaration-du-candidat ou document équivalent.3 -Si le candidat est en redressement judiciaire, produire la copie du ou des jugement(s) prononcé(s) à cet effet, ou procédure étrangère équivalente conformément à l'article R R2343-9 du code de la commande publique.4 - le numéro unique d'identification permettant à l'acheteur d'accéder aux informations pertinentes par le biais d'un système électronique mentionné au 1° de l'article R. 2143-13 ou, s'il est étranger, un document délivré par l'autorité judiciaire ou administrative compétente de son pays d'origine ou d'établissement, attestant de l'absence de cas d'exclusion.5 - Tous renseignements ou documents justifiant de la nationalité du candidat conformément à l'article R2343-3.3° du code de la commande publique6 - Une attestation fiscale datant de moins de 12 mois justifiant de la régularité fiscale de l'entreprise.7 - Une attestation de vigilance délivrée par l'URSSAF ou par le RSI, de moins de six mois, justifiant que la société a satisfait aux obligations sociales.8 - une déclaration sur l'honneur selon laquelle le candidat est en règle avec l'article L 2312-27 du code du travail concernant le procès-verbal de la réunion du comité consacrée à l'examen du rapport et du programme sur la consultation en matière de politique sociale (si le candidat emploie plus de 11 salariés pendant 12 mois).Pour les candidats établis dans l'Union européenne hors France : se rapporter à la rubrique renseignements complémentaires.Les candidatures n'ayant pas été écartées sont examinées au regard des conditions fixées par l'article R2342-4 à R2342-6 du code de la commande publique.",,,False,"Déclaration concernant le chiffre d'affaires global du candidat et, le cas échéant, le chiffre d'affaires du domaine d'activité faisant l'objet du marché public, portant au maximum sur les trois derniers exercices disponibles en fonction de la date de création de l'entreprise ou du début d'activité de l'opérateur économique.",,,,,False,"1 - Liste des principales livraisons réalisées et/ou des principaux services effectués au cours des cinq dernières années, indiquant le montant, la date et le destinataire (public ou privé).Si, pour une raison justifiée, l'opérateur économique n'est pas en mesure de produire les références demandées par l'acheteur, il est autorisé à prouver ses capacités techniques ou professionnelles par tout autre moyen considéré comme approprié par l'acheteur.Si le candidat s'appuie sur les capacités d'autres opérateurs économiques, il justifie des capacités de ce ou ces opérateurs économiques et apporte la preuve qu'il en disposera pour l'exécution du marché public. Cette preuve peut être apportée par tout moyen approprié.",,"Les candidats n'ayant pas démontré par tout moyen leurs compétences dans le domaine des machines-outils comportant du logiciel sont exclus.En l'absence de ces éléments, la candidature est rejetée.",,,CF_NIV_SUIV,False,False,False,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,False
21-124594,,"- Lettre de Candidature (formulaire DC1 ou équivalent)- Déclaration sur l'honneur du candidat justifiant qu'il n'entre dans aucun des cas mentionnés aux articles L 2141  1 à 5 et 7 à 11 du Code de la commande publique (CCP), concernant les interdictions de soumissionner et notamment qu'il est en règle au regard des articles L. 5212-1 à L. 5212-11 du code du travail concernant l'emploi des travailleurs handicapés (cf article R 2143-3 du Code de la Commande Publique).- Copie des jugements de redressement judiciaire",,,True,"- Déclaration concernant le chiffre d'affaires global et le chiffre d'affaires concernant les fournitures, services ou travaux auxquels se réfère le marché, réalisés au cours des trois derniers exercices disponibles.",,,,,True,"- Liste des prestations de même nature exécutées au cours des trois dernières années indiquant la date, le montant et le destinataire prouvées par des attestations ou par une déclaration.- Outillage, matériel et équipement technique dont le candidat dispose pour la réalisation de marchés de même nature.",,,,,CF_NIV_SUIV,False,False,True,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-125449,,"- Une lettre de candidature (DC1 ou équivalent) dûment complétée mentionnant si le candidat se présente seul ou en groupement et dans ce dernier cas faisant apparaître tous les cotraitants. En cas de groupement, la candidature est présentée soit par les membres du groupement ou par le mandataire qui sera explicitement indiqué et qui justifiera qu'il a reçu les habilitations nécessaires pour représenter les membres du groupement ;- Un document relatif aux pouvoirs et indiquant le nom et la qualité de la personne habilitée à engager le candidat individuel ou chaque membre du groupement candidat ainsi que lhabilitation du mandataire par ses cotraitants en cas de groupement (Indiquez le nom, le prénom, la qualité de la personne et un justificatif prouvant lhabilitation (K-bis ou document équivalent, délégation de pouvoir...) ;- La copie du bulletin dinscription au registre du commerce et des sociétés ou un document équivalent ;- Une déclaration sur lhonneur pour justifier quil nentre dans aucun des cas mentionnés aux articles L2141-1 à L2141-5 et L2141-7 à L2141-11 du Code de la Commande Publique et notamment quil est en règle au regards des articles L.5212-1 à L.5212-11 du code du travail concernant lemploi des travailleurs handicapés (sauf si le candidat a fourni un DC1 renseigné).",,,True,"Pour le candidat, ou pour chacun des membres du groupement (le cas échéant)- Une déclaration concernant le chiffre d'affaires global, réalisé au cours des trois (3) derniers exercices (cf. imprimé DC2).- Pour les entreprises dont la création est inférieure à 1 an, le récépissé du dépôt de déclaration auprès du Centre de Formalité des Entreprises. Le candidat signalera l'impossibilité de fournir ses chiffres d'affaires et indiquera la date de création de sa structure dans le cadre à la place du chiffre d'affaires. Dans ce cas, l'entreprise est autorisée à justifier sa capacité financière par tous moyens, notamment par une déclaration appropriée de banques ou preuve dune assurance pour les risques professionnels.",,,,,True,"1°/ Les moyens humains (description succincte des effectifs moyens annuels du candidat pour les trois dernières années) 2°/ Les moyens matériels (déclaration indiquant le matériel et léquipement technique dont le candidat dispose pour la réalisation du marché public).3°/ Les références récentes de lentreprise en rapport avec lobjet du marché, par la présentation dune liste des fournitures livrées au cours des TROIS DERNIERES ANNEES (et en cours dexécution le cas échéant) [indiquant lannée, le montant et le destinataire public ou privé.En cas de groupement chaque co-traitant devra fournir l'intégralité des documents et renseignements ci-dessus.Pour justifier des capacités professionnelles, techniques et financières dautres opérateurs économiques sur lesquels il sappuie pour présenter sa candidature, le candidat produit les mêmes documents concernant cet opérateur économique que ceux qui lui sont exigés par le pouvoir adjudicateur. En outre, pour justifier quil dispose des capacités de cet opérateur économique pour lexécution des prestations, le candidat produit un engagement écrit de lopérateur économique.",,,,,CF_NIV_SUIV,False,False,True,,True,,False,True,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-125672,,"Lettre de candidature (formulaire Dc1 téléchargeable sur le site www.economie.gouv.fr ), datée et signée par une personne dûment habilitée à engager la société, avec à l'appui, une attestation de délégation de signature pour le signataire des pièces ;Déclaration du candidat individuel (formulaire Dc2 téléchargeable sur le site www.economie.gouv.fr ) ;S'Il est en redressement judiciaire, copie du ou des jugements prononcés ;Tous documents relatifs aux pouvoirs de la personne habilitée à engager l'entreprise :Si le signataire des pièces de l'accord-cadre est habilité de droit à engager l'entreprise : extrait KBIS, statuts de la société, délibération du conseil d'administration ou tout autre documentSi le signataire est habilité en vertu d'un pouvoir, copie de ce pouvoir signé par la personne habilitée de plein droit à engager l'entreprise ;Déclaration sur l'honneur pour justifier que le candidat n'entre dans aucun des cas d'interdiction mentionnés aux articles L2141-7 à 11 du CCP;",,,False,"Déclaration concernant le chiffre d'affaires global, réalisé au cours des 3 derniers exercices disponibles ;",,,,,False,"Déclaration indiquant les effectifs moyens annuels du candidat pour chacune des 3 dernières années ;Liste des moyens matériels du candidat ;Liste des principaux services effectués au cours des 3 dernières années indiquant le montant, la date et le destinataire public ou privé.",,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,,CF_NIV_SUIV,False,True
21-132552,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,Autres renseignements demandés,CF_NIV_SUIV,False,True
21-132552,,,,,False,,,,,,False,,,,,,CF_NIV_SUIV,False,False,False,,False,,False,False,CF_NIV_SUIV,"les candidats devront impérativement fournir : - les effectifsmoyens annuels sur l'année 2020 ; - en cas de redressement judiciaire, la copie du ou des jugementsprononcés à cet effet ; - les pièces relatives au pouvoir des personnes habilitées à engager le soumissionnaire ; - une déclaration sur l'honneur attestant que le soumissionnaire satisfait aux obligations concernant l'emploi des travailleurs handicapés définies aux articles L.5212-1 à L.5212-11du code du travail ; - le chiffre d'affaires annuel général réalisé ou estimé sur les trois derniers exercices disponibles ; - des références de prestations effectuées au cours des trois dernières années en indiquant l'année de réalisation et le destinataire public ou privé. Ces justifications peuvent être complétées par des certificats de qualification professionnelle délivrés par un organisme indépendant ou par des attestations de réalisation de prestations émanant de clients privés ou publics. Il est précisé que d'autres justificatifs regardés comme équivalents à ceux indiqués ci-avant sont acceptés dans le cas de stés nouvellement créées.",CF_NIV_SUIV,False,True
