BOAMP_AVIS_NUM,D_16_01_Renseignementscomplementaires_Commandeelectroniqueoui,D_16_02_Renseignementscomplementaires_Commandeelectroniquenon,D_16_03_Renseignementscomplementaires_Facturationelectroniqueoui,D_16_04_Renseignementscomplementaires_Facturationelectroniquenon,D_16_05_Renseignementscomplementaires_Paiementelectroniqueoui,D_16_06_Renseignementscomplementaires_Paiementelectroniquenon,D_16_07_Renseignementscomplementaires_Renscomplement,D_16_08_Renseignementscomplementaires_Proceduresrecoursprecision,D_16_09_Renseignementscomplementaires_Adressescomplementaires,D_16_09_01_Renseignementscomplementaires_Adressescomplementaires_Adresse,D_16_09_01_01_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type,D_16_09_01_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admintech,D_16_09_01_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admin,D_16_09_01_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Tech,D_16_09_01_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Renseignements,D_16_09_01_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Documents,D_16_09_01_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Envoyeroffres,D_16_09_01_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Instancerecours,D_16_09_01_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Organemediation,D_16_09_01_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Rensrecours,D_16_09_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Denomination,D_16_09_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codeidentnational,D_16_09_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Correspondant,D_16_09_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Contact,D_16_09_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Adresse,D_16_09_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Cp,D_16_09_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Ville,D_16_09_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Pays,D_16_09_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codenuts,D_16_09_01_11_Renseignementscomplementaires_Adressescomplementaires_Adresse_Tel,D_16_09_01_12_Renseignementscomplementaires_Adressescomplementaires_Adresse_Poste,D_16_09_01_13_Renseignementscomplementaires_Adressescomplementaires_Adresse_Fax,D_16_09_01_14_Renseignementscomplementaires_Adressescomplementaires_Adresse_Mel,D_16_09_01_15_Renseignementscomplementaires_Adressescomplementaires_Adresse_Url
19-181591,False,True,False,True,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,True,False,False,False,False,False,SAS GALLICE 21,None,,,47 Boulevard Baudoin Pointe du Crouton,06160,JUAN LES PINS,,FRL03,(+33) 6-20-33-28-89,,,marches.port-gallice@gallice21.com,https://demat.centraledesmarches.com/7061883
19-181591,False,True,False,True,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,True,False,False,False,SAS GALLICE 21,None,,,47 Boulevard Baudoin Pointe du Crouton,06160,JUAN LES PINS,,FRL03,(+33) 4-93-13-20-38,,,marches.port-gallice@gallice21.com,https://demat.centraledesmarches.com/7061883
19-181591,False,True,False,True,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal Administratif de Nice,None,,,18 avenue des Fleurs,06000,NICE,,,(+33) 4-89-97-86-00,,,,
19-181591,False,True,False,True,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,True,False,CCIRAL,None,,,PLACE FELIX BARET,13282,Marseille CEDEX,,,(+33) 4-84-35-45-54,,,,
21-101259,True,False,False,True,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 1 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal administratif de Toulouse,None,,,"68, rue Raymond IV BP 7007, 31068, Toulouse Cedex 7",31068,Toulouse,,,(+33) 5-62-73-57-57,,,greffe.tatoulouse@juradm.fr,http://www.toulouse.tribunal-administratif.fr
21-102830,True,False,True,False,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,True,False,False,False,False,False,Services techniques ville de Sallaumines,None,,,,None,Sallaumines,,FRE12,,,,tbulka@ville-sallaumines.fr,http://www.ville-sallaumines.fr
21-102830,True,False,True,False,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,True,False,False,False,Ville de Sallaumines,None,,www.ville-sallaumines.fr,,None,Sallaumines,,FR,,,,contact@ville-sallaumines.fr,http://www.ville-sallaumines.fr
21-102830,True,False,True,False,False,True, Date d'envoi du présent avis au JOUE et au BOAMP : 3 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal Administratif de Lille,None,,,,None,Lille,,,,,,,
21-109240,False,False,False,False,False,False,"La présente consultation concerne le "" Groupement de commandes pour la fourniture de produits pharmaceutiques et consommables et petits équipements à caractère médical - année 2021 reconductible jusqu'en 2024 "".Le présent accord-cadre est passé en procédure adaptée selon les dispositions de larticle L.2123-1 et R.2123-1 et suivant du code de la commande publique.Laccord-cadre sera exécuté au fur et à mesure de lémission de bons de commande dans les conditions fixées aux articles R.2162-13 et R.2162-14 du code de la commande publique.Il sagit dun accord-cadre à bons de commande mono-attributaire sans minimum et avec unmaximum annuel de 75000euro HT pour chaque lot.Les bons de commande seront notifiés par le pouvoir adjudicateur au fur et à mesure de la survenance des besoins. Cet accord-cadre concerne une prestation de fournitures. Par conséquent, il est soumis aux dispositions du C.C.A.G.-F.C.S.Laccord-cadre est conclu pour une période dun an à compter de sa notification.Laccord-cadre peut être reconduit par périodes successives dun (1) an pour une durée maximale dereconduction de trois (3) ans, sans que la durée totale ne puisse excéder quatre (4) ans.La reconduction est considérée comme acceptée si aucune décision contraire nest prise par le pouvoiradjudicateur au moins quatre (4) mois avant la fin de la durée de validité du marché.Conformément à larticle R. 2112-4 du Code de la commande publique, le titulaire du marché nepourra pas refuser cette reconduction.  Les délais de livraison des fournitures sont ceux fournis par le titulaire à lappui de son offre dans le bordereau des délais dexécution (B.D.E  Annexe no4-a pour le lot no1 et Annexe no4-b pour le lot no2 de lacte d'engagement).. Date d'envoi du présent avis au JOUE et au BOAMP : 1 décembre 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal Administratif de Montreuil,None,,,7 Rue Catherine Puig,93558,Montreuil cedex,,,(+33) 1-49-20-20-00,,,greffe.ta-montreuil@juradm.fr,
21-109240,False,False,False,False,False,False,"La présente consultation concerne le "" Groupement de commandes pour la fourniture de produits pharmaceutiques et consommables et petits équipements à caractère médical - année 2021 reconductible jusqu'en 2024 "".Le présent accord-cadre est passé en procédure adaptée selon les dispositions de larticle L.2123-1 et R.2123-1 et suivant du code de la commande publique.Laccord-cadre sera exécuté au fur et à mesure de lémission de bons de commande dans les conditions fixées aux articles R.2162-13 et R.2162-14 du code de la commande publique.Il sagit dun accord-cadre à bons de commande mono-attributaire sans minimum et avec unmaximum annuel de 75000euro HT pour chaque lot.Les bons de commande seront notifiés par le pouvoir adjudicateur au fur et à mesure de la survenance des besoins. Cet accord-cadre concerne une prestation de fournitures. Par conséquent, il est soumis aux dispositions du C.C.A.G.-F.C.S.Laccord-cadre est conclu pour une période dun an à compter de sa notification.Laccord-cadre peut être reconduit par périodes successives dun (1) an pour une durée maximale dereconduction de trois (3) ans, sans que la durée totale ne puisse excéder quatre (4) ans.La reconduction est considérée comme acceptée si aucune décision contraire nest prise par le pouvoiradjudicateur au moins quatre (4) mois avant la fin de la durée de validité du marché.Conformément à larticle R. 2112-4 du Code de la commande publique, le titulaire du marché nepourra pas refuser cette reconduction.  Les délais de livraison des fournitures sont ceux fournis par le titulaire à lappui de son offre dans le bordereau des délais dexécution (B.D.E  Annexe no4-a pour le lot no1 et Annexe no4-b pour le lot no2 de lacte d'engagement).. Date d'envoi du présent avis au JOUE et au BOAMP : 1 décembre 2021.",,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Mairie d'Aulnay-Sous-Bois Direction de la Commande Publique BP 56 RDC bas,None,,,Place de l'Hôtel de Ville,93600,Aulnay-sous-bois,,,(+33) 1-48-79-64-81,,,marches-publics@aulnay-sous-bois.com,http://www.aulnay-sous-bois.fr
