BOAMP_AVIS_NUM,D_16_01_Renseignementscomplementaires_Commandeelectroniqueoui,D_16_02_Renseignementscomplementaires_Commandeelectroniquenon,D_16_03_Renseignementscomplementaires_Facturationelectroniqueoui,D_16_04_Renseignementscomplementaires_Facturationelectroniquenon,D_16_05_Renseignementscomplementaires_Paiementelectroniqueoui,D_16_06_Renseignementscomplementaires_Paiementelectroniquenon,D_16_07_Renseignementscomplementaires_Renscomplement,D_16_08_Renseignementscomplementaires_Proceduresrecoursprecision,D_16_09_Renseignementscomplementaires_Adressescomplementaires,D_16_09_01_Renseignementscomplementaires_Adressescomplementaires_Adresse,D_16_09_01_01_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type,D_16_09_01_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admintech,D_16_09_01_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Admin,D_16_09_01_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Tech,D_16_09_01_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Renseignements,D_16_09_01_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Documents,D_16_09_01_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Envoyeroffres,D_16_09_01_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Instancerecours,D_16_09_01_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Organemediation,D_16_09_01_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Type_Rensrecours,D_16_09_01_02_Renseignementscomplementaires_Adressescomplementaires_Adresse_Denomination,D_16_09_01_03_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codeidentnational,D_16_09_01_04_Renseignementscomplementaires_Adressescomplementaires_Adresse_Correspondant,D_16_09_01_05_Renseignementscomplementaires_Adressescomplementaires_Adresse_Contact,D_16_09_01_06_Renseignementscomplementaires_Adressescomplementaires_Adresse_Adresse,D_16_09_01_07_Renseignementscomplementaires_Adressescomplementaires_Adresse_Cp,D_16_09_01_08_Renseignementscomplementaires_Adressescomplementaires_Adresse_Ville,D_16_09_01_09_Renseignementscomplementaires_Adressescomplementaires_Adresse_Pays,D_16_09_01_10_Renseignementscomplementaires_Adressescomplementaires_Adresse_Codenuts,D_16_09_01_11_Renseignementscomplementaires_Adressescomplementaires_Adresse_Tel,D_16_09_01_12_Renseignementscomplementaires_Adressescomplementaires_Adresse_Poste,D_16_09_01_13_Renseignementscomplementaires_Adressescomplementaires_Adresse_Fax,D_16_09_01_14_Renseignementscomplementaires_Adressescomplementaires_Adresse_Mel,D_16_09_01_15_Renseignementscomplementaires_Adressescomplementaires_Adresse_Url
21-158683,False,False,False,False,False,False,Les offres peuvent uniquement être remises électroniquement.,"Le délai de suspension de la signature du marché public ou de l'accord-cadre est de 5 jours, à compter de la date d'envoi de la présente notification. Référé précontractuel :Le candidat peut, s'il le souhaite, exercer un référé précontractuel contre la présente procédure de passation, devant le président du tribunal administratif, avant la signature du marché public ou de l'accord-cadre.Recours pour excès de pouvoir en cas de déclaration d'infructuosité de la procédure :Dans l'hypothèse d'une déclaration d'infructuosité de la procédure, le candidat peut, s'il le souhaite, exercer un recours pour excès de pouvoir contre cette décision, devant le tribunal administratif. Le juge doit être saisi dans un délai de deux mois à compter de la notification du présent courrier.",CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,True,False,False,False,False,Commune de Saint Andre-Lez-Lille,None," Geloen Martine, Responsable direction de la commande publique",,89 rue du Général Leclerc,59350,ST ANDRE LEZ LILLE,,,(+33) 3-20-63-07-40,,(+33) 3-20-63-07-54,martine.geloen@ville-saint-andre.fr,https://marchespublics596280.fr
21-158683,False,False,False,False,False,False,Les offres peuvent uniquement être remises électroniquement.,"Le délai de suspension de la signature du marché public ou de l'accord-cadre est de 5 jours, à compter de la date d'envoi de la présente notification. Référé précontractuel :Le candidat peut, s'il le souhaite, exercer un référé précontractuel contre la présente procédure de passation, devant le président du tribunal administratif, avant la signature du marché public ou de l'accord-cadre.Recours pour excès de pouvoir en cas de déclaration d'infructuosité de la procédure :Dans l'hypothèse d'une déclaration d'infructuosité de la procédure, le candidat peut, s'il le souhaite, exercer un recours pour excès de pouvoir contre cette décision, devant le tribunal administratif. Le juge doit être saisi dans un délai de deux mois à compter de la notification du présent courrier.",CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,True,False,False,False,Commune de Saint Andre-Lez-Lille,None," Geloen Martine, Responsable direction de la commande publique",,89 rue du Général Leclerc,59350,ST ANDRE LEZ LILLE,,,(+33) 3-20-63-07-40,,(+33) 3-20-63-07-54,martine.geloen@ville-saint-andre.fr,https://www.villesaintandre.fr/
21-158683,False,False,False,False,False,False,Les offres peuvent uniquement être remises électroniquement.,"Le délai de suspension de la signature du marché public ou de l'accord-cadre est de 5 jours, à compter de la date d'envoi de la présente notification. Référé précontractuel :Le candidat peut, s'il le souhaite, exercer un référé précontractuel contre la présente procédure de passation, devant le président du tribunal administratif, avant la signature du marché public ou de l'accord-cadre.Recours pour excès de pouvoir en cas de déclaration d'infructuosité de la procédure :Dans l'hypothèse d'une déclaration d'infructuosité de la procédure, le candidat peut, s'il le souhaite, exercer un recours pour excès de pouvoir contre cette décision, devant le tribunal administratif. Le juge doit être saisi dans un délai de deux mois à compter de la notification du présent courrier.",CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,True,False,False,False,False,False,False,False,Commune de Saint Andre-Lez-Lille,None," Geloen Martine, Responsable direction de la commande publique",,89 rue du Général Leclerc,59350,ST ANDRE LEZ LILLE,,,(+33) 3-20-63-07-40,,(+33) 3-20-63-07-54,martine.geloen@ville-saint-andre.fr,https://www.villesaintandre.fr/
21-158683,False,False,False,False,False,False,Les offres peuvent uniquement être remises électroniquement.,"Le délai de suspension de la signature du marché public ou de l'accord-cadre est de 5 jours, à compter de la date d'envoi de la présente notification. Référé précontractuel :Le candidat peut, s'il le souhaite, exercer un référé précontractuel contre la présente procédure de passation, devant le président du tribunal administratif, avant la signature du marché public ou de l'accord-cadre.Recours pour excès de pouvoir en cas de déclaration d'infructuosité de la procédure :Dans l'hypothèse d'une déclaration d'infructuosité de la procédure, le candidat peut, s'il le souhaite, exercer un recours pour excès de pouvoir contre cette décision, devant le tribunal administratif. Le juge doit être saisi dans un délai de deux mois à compter de la notification du présent courrier.",CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,True,False,False,False,False,False,False,Service environnement,None," BARBRY François Xavier, Responsable Environnement",,89 rue du Général Leclerc,59350,ST ANDRE LEZ LILLE,,,(+33) 3-20-63-07-47,,,environnement@ville-saint-andre.fr,https://www.villesaintandre.fr/
21-158684,False,False,False,False,False,False, Date d'envoi du présent avis au JOUE et au BOAMP : 1 décembre 2021.,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal de Melun,None,,,43 rue du Général de Gaulle,77000,MELUN,,,,,,,http://melun.tribunal-administratif.fr/
21-158685,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,True,False,False,False,False,False,False,False,False,,None,,,,None,,,,,,,,https://www.achatpublic.com
21-158685,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,True,False,False,Tribunal administratif de Cergy-Pontoise,None,,,2-4 boulevard de l'Hautil,95027,Cergy-pontoise cedex,,,01-30-17-34-00,,01-30-17-34-59,greffe.ta-cergy-pontoise@juradm.fr,http://cergy-pontoise.tribunal-administratif.fr/
21-158685,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,False,False,False,True,Tribunal administratif de Cergy-Pontoise,None,,,2-4 boulevard de l'Hautil,95027,Cergy-pontoise cedex,,,01-30-17-34-00,,01-30-17-34-59,greffe.ta-cergy-pontoise@juradm.fr,http://cergy-pontoise.tribunal-administratif.fr/
21-158685,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,True,False,False,False,False,,None,,,,None,,,,,,,,https://www.achatpublic.com
21-158685,False,False,False,False,False,False,,,CF_NIV_SUIV,CF_NIV_SUIV,CF_NIV_SUIV,False,False,False,False,False,True,False,False,False,,None,,,,None,,,,,,,,https://www.achatpublic.com
