BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
21-163633,False,False,False,False,False,False,False,,False,False,,,,True,Le montant total des lots est en dessous du seuil de publicité européen
21-163779,False,False,False,False,False,False,False,,False,False,,,,True,le marché est en dessous du seuil obligatoire pour la publication au JOUE
21-163790,False,False,False,False,False,False,False,,False,True,,,,False,Le marché est passé en application de l'article  R. 2122-6 du Code de la commande publique.
21-163828,False,False,False,False,False,True,False,,False,False,,,,False,La société IBM certifie détenir les droits exclusifs quant à l'objet du présent accord-cadre
21-163968,False,False,False,False,False,True,False,,False,False,,,,False,"Pour assurer la maintenance et la continuité des prestations logicielles de haute technicité et compte tenu des droits de propriété industrielle et intellectuelle et des droits dexclusivité, le marché à renouveler doit être passé avec le même opérateur, selon la procédure sans publicité ni mise en concurrence préalables."
21-164092,True,False,False,False,False,False,False,,False,False,,,,False,Cette consultation fait suite à un appel d'offres infructueux.
21-164101,False,False,False,False,False,False,False,,False,False,,,,True,Le présent marché n'entre pas dans le champ de l'application de la directive 2014/24/UE du 26 février 2014 parce qu'il est inférieur aux seuils édictés à l'article 4 de ladite directive.
21-164540,True,False,False,False,False,False,False,,False,False,,,,False,La procédure précédente a été déclarée infructueuse en raison de l'absence de dépôt effectué pour ce marché
21-164545,False,False,False,False,False,True,False,,False,False,,,,False,Protection de droits exclusifs
21-164558,False,False,False,True,False,False,False,,False,False,,,,False,La société de remontées mécaniques STGM est titulaire d'une délégation de service public qui la qualifie comme seul opérateur de remontées mécaniques sur le domaine de Tignes. Par conséquent il n'est pas possible de passer un marché avec concurrence.
21-164777,False,False,False,False,False,False,False,,False,False,,,,True,"Le montant du présent marché de travaux ne dépassant pas 5 350 000 euro EUR HT, il est passé en procédure adaptée."
21-165167,True,False,False,False,False,False,False,,False,False,,,,False,"Marché passé sans publicité ni mise en concurrence préalable selon les dispositions de l'article R.2122-2 du Code de la Commande Publique suite à une procédure d'appel d'offres ouvert déclaré sans suite pour cause d'infructuosité.Le recours à cette procédure est autorisé dans le cas d'un appel d'offres infructueux, lorsqu'aucune offre n'a été déposée dans les délais prescrits et pour autant que les conditions initiales du marché ne soient pas substantiellement modifiées."
