BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
19-181591,2021-12-05 00:00:00,,2022-01-17 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,52,"Carburant, hydrocarbure",CF_NIV_SUIV,False,False,6,,sous-concession pour l'exploitation d'une station-service d'avitaillement de navires en carburants
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,53,Carrelage,CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,60,Chauffage (matériel),CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,203,Matériel électrique,CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,222,Menuiserie,CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,291,Quincaillerie (articles),CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,308,Revêtements de sols,CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-150049,2021-12-08 00:00:00,,2022-02-03 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,311,Matériel robinetterie,CF_NIV_SUIV,False,True,75,,Fourniture de matériels destinés à l'approvisionnement des magasins de la brigade de sapeurs-pompiers de Paris.
20-88639,2021-12-23 00:00:00,2022-01-31 12:00:00,2022-01-31 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,64,Clôture,CF_NIV_SUIV,False,True,69,,"Exécution de terrassement, soutènement, clôture et autres pour espaces verts"
20-88639,2021-12-23 00:00:00,2022-01-31 12:00:00,2022-01-31 00:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,True,69,,"Exécution de terrassement, soutènement, clôture et autres pour espaces verts"
